timesteps, current B1, voltage
0,26.219,24.586
1,24.9855,24.589
2,24.85,24.594
3,24.4105,24.586
4,24.335,24.581
5,24.7905,24.564
6,25.2555,24.55
7,25.243,24.548
8,25.4875,24.547
9,25.0495,24.541
10,24.14,24.549
11,23.5025,24.558
12,23.222,24.558
13,23.935,24.535
14,24.4345,24.533
15,24.816,24.513
16,25.4505,24.505
17,25.6455,24.497
18,26.4455,24.475
19,26.4225,24.462
20,24.7535,24.5
21,24.1855,24.504
22,23.865,24.496
23,23.626,24.52
24,23.595,24.502
25,23.4115,24.507
26,22.9175,24.508
27,22.738,24.505
28,22.738,24.498
29,22.775,24.497
30,23.676,24.482
31,24.486,24.466
32,25.6455,24.433
33,24.93,24.457
34,24.376,24.445
35,24.0245,24.453
36,24.191,24.444
37,24.386,24.437
38,24.288,24.436
39,23.7585,24.446
40,24.3105,24.429
41,24.9055,24.427
42,25.2045,24.41
43,25.607,24.395
44,25.455,24.398
45,25.384,24.392
46,25.354,24.392
47,25.3725,24.383
48,24.7165,24.397
49,25.1545,24.39
50,25.243,24.382
51,25.3185,24.37
52,25.358,24.375
53,23.8255,24.39
54,23.9535,24.392
55,25.6085,24.355
56,24.9425,24.359
57,25.8365,24.353
58,26.525,24.338
59,25.775,24.338
60,24.796,24.351
61,25.617,24.359
62,25.9675,24.334
63,25.314,24.339
64,23.737,24.357
65,22.429,24.389
66,21.83,24.405
67,22.809,24.381
68,24.2255,24.352
69,23.024,24.377
70,21.628,24.399
71,19.856,24.425
72,20.4555,24.419
73,20.7685,24.4
74,19.418,24.439
75,18.78,24.446
76,18.51,24.443
77,19.2785,24.449
78,20.293,24.417
79,21.534,24.384
80,23.2805,24.35
81,24.6225,24.328
82,28.3015,24.249
83,25.1035,24.312
84,25.465,24.303
85,25.0195,24.304
86,23.172,24.339
87,21.7105,24.365
88,21.8215,24.369
89,22.2485,24.348
90,22.4365,24.343
91,22.5315,24.345
92,23.38,24.328
93,23.838,24.31
94,24.09,24.311
95,25.163,24.289
96,25.882,24.259
97,26.067,24.26
98,25.95,24.256
99,25.6995,24.261
100,25.408,24.27
101,24.4715,24.274
102,24.4715,24.292
103,24.365,24.275
104,24.0175,24.284
105,24.3505,24.276
106,24.096,24.276
107,23.541,24.285
108,23.9435,24.284
109,24.887,24.256
110,26.76,24.213
111,26.669,24.207
112,25.842,24.231
113,24.3005,24.255
114,23.504,24.266
115,22.872,24.283
116,22.93,24.285
117,23.505,24.28
118,23.357,24.284
119,24.8415,24.237
120,25.2075,24.239
121,26.753,24.198
122,27.221,24.177
123,26.178,24.203
124,25.9035,24.207
125,25.691,24.218
126,25.848,24.207
127,24.85,24.217
128,24.245,24.235
129,23.915,24.233
130,24.106,24.229
131,23.959,24.229
132,25.014,24.203
133,25.4905,24.218
134,26.5905,24.184
135,26.6035,24.182
136,26.484,24.182
137,26.145,24.176
138,25.657,24.186
139,24.171,24.21
140,24.83,24.193
141,25.8905,24.186
142,26.138,24.181
143,25.7765,24.173
144,25.919,24.191
145,25.7325,24.189
146,24.3205,24.189
147,24.4545,24.194
148,24.429,24.195
149,24.0045,24.193
150,22.8635,24.22
151,22.186,24.234
152,22.156,24.234
153,23.602,24.208
154,25.004,24.184
155,23.3645,24.204
156,22.1275,24.232
157,22.4875,24.229
158,26.74,24.153
159,29.185,24.092
160,29.978,24.078
161,29.05,24.094
162,29.79,24.078
163,30.123,24.079
164,29.941,24.071
165,28.959,24.085
166,28.525,24.085
167,24.8615,24.147
168,22.9375,24.187
169,23.7245,24.173
170,25.378,24.14
171,25.237,24.146
172,25.0865,24.143
173,25.8775,24.142
174,26.4485,24.124
175,27.5315,24.096
176,26.4225,24.12
177,26.683,24.108
178,26.6675,24.11
179,26.393,24.11
180,26.706,24.098
181,26.864,24.11
182,26.908,24.099
183,26.7915,24.108
184,26.5565,24.104
185,26.42,24.116
186,27.3665,24.096
187,27.2055,24.088
188,27.059,24.084
189,26.249,24.102
190,28.4695,24.056
191,27.5455,24.068
192,26.6535,24.09
193,26.757,24.079
194,26.925,24.083
195,27.3265,24.062
196,27.248,24.064
197,26.7315,24.091
198,28.2015,24.06
199,28.5975,24.047
200,27.739,24.05
201,26.911,24.075
202,27.395,24.063
203,26.952,24.071
204,27.244,24.06
205,27.735,24.052
206,28.442,24.038
207,28.3695,24.042
208,28.431,24.039
209,27.85,24.048
210,29.2295,24.013
211,27.581,24.041
212,27.7165,24.045
213,26.8425,24.052
214,26.72,24.054
215,27.1915,24.047
216,28.414,24.028
217,28.0195,24.041
218,27.389,24.046
219,28.341,24.021
220,28.4125,24.023
221,27.4575,24.024
222,27.95,24.028
223,28.344,24.026
224,28.2415,24.021
225,28.0435,24.008
226,28.9875,23.996
227,28.3115,24.015
228,28.747,24.001
229,28.996,23.992
230,28.3115,24.002
231,28.6345,23.996
232,27.14,24.027
233,28.546,23.997
234,25.946,24.035
235,27.4785,24.02
236,26.5365,24.029
237,26.43,24.033
238,26.319,24.039
239,27.4575,24.016
240,27.53,24
241,27.359,24.012
242,27.981,23.987
243,28.566,23.996
244,28.6815,23.975
245,28.2215,23.985
246,27.241,23.996
247,28.334,23.984
248,26.2735,24.007
249,26.8385,24.012
250,27.2425,24.001
251,27.1285,24.017
252,25.3765,24.037
253,22.391,24.083
