m,d,p,rho,Fx,Fy,Fz,Tx,Ty,Tz
1,0.015,1,0,-0.020593,0.000768,0.003653,-3.4E-05,0.003696,-0.000735
1,0.015,1,0.0018,-0.037131,0.004398,0.020824,3.9E-05,0.001742,-0.000303
1,0.015,1,0.0041,-0.055301,-0.006598,0.04427,-0.002739,-0.002769,-0.003723
1,0.015,1,0.0064,-0.064172,-0.000397,0.045425,-0.001786,-0.003053,-0.002542
1,0.015,1,0.0081,-0.107364,4.6E-05,0.081113,-0.003167,-0.008527,-0.003828
1,0.015,1,0.01,-0.08772,-0.005495,0.07747,-0.003368,-0.011782,-0.004519
1,0.015,1,0.012,-0.103862,0.002469,0.085638,-0.002752,-0.013839,-0.002841
1,0.015,1,0.0143,-0.09942,-0.007654,0.100106,-0.004043,-0.020873,-0.005723
1,0.015,1,0.0166,-0.115911,0.008163,0.085961,-0.002115,-0.015704,-0.001653
1,0.015,1,0.0179,-0.108039,-0.009422,0.10748,-0.004505,-0.024861,-0.006804
1,0.015,1,0.0205,-0.07969,0.003637,0.078999,-0.002057,-0.019313,-0.001256
1,0.015,1,0.0219,-0.155987,-0.001808,0.094021,-0.003173,-0.019277,-0.005623
1,0.015,1,0.0247,-0.097741,0.004687,0.103875,-0.003196,-0.028693,-0.001881
1,0.015,1,0.0262,-0.125427,0.00699,0.110266,-0.003686,-0.030056,-0.00231
1,0.015,1,0.0292,-0.146987,-0.009848,0.127308,-0.004695,-0.036061,-0.007859
1,0.015,1,0.0307,-0.093096,-0.002923,0.106609,-0.003656,-0.032307,-0.003739
1,0.015,1,0.0323,-0.125475,0.012694,0.103822,-0.002838,-0.030761,0
1,0.015,1,0.0339,-0.123803,-0.007634,0.116008,-0.004007,-0.035969,-0.006279
1,0.015,1,0.0372,-0.1313,0.000963,0.106226,-0.003708,-0.034064,-0.004185
1,0.015,1,0.0389,-0.127802,-0.016051,0.11232,-0.003461,-0.037172,-0.009241
1,0.015,1,0.0406,-0.115318,0.003037,0.108819,-0.003588,-0.036304,-0.002803
1,0.015,1,0.0423,-0.111644,-0.003297,0.114619,-0.003716,-0.038936,-0.004805
1,0.015,1,0.0441,-0.106405,-0.002483,0.115096,-0.003808,-0.03971,-0.004271
1,0.015,1,0.0458,-0.104637,0.000231,0.110176,-0.003752,-0.038625,-0.003238
1,0.015,1,0.0494,-0.097119,0.002612,0.09504,-0.003421,-0.034312,-0.002691
1,0.015,1,0.0512,-0.110268,-0.008081,0.114709,-0.003229,-0.041897,-0.006202
1,0.015,1,0.0531,-0.105074,-6.1E-05,0.096971,-0.003447,-0.036573,-0.003671
1,0.015,1,0.0549,-0.068421,0.000153,0.082706,-0.002704,-0.03006,-0.002311
1,0.015,1,0.0568,-0.083654,-0.006136,0.103663,-0.002988,-0.038128,-0.004484
1,0.015,1,0.0586,-0.085568,0.001951,0.093913,-0.0032,-0.035369,-0.002373
1,0.015,1,0.0636,-0.085035,0.010197,0.054708,-0.00253,-0.003697,-0.003242
1,0.015,1,0.0676,-0.012007,-0.00077,0.087599,-0.002786,0.000129,-0.000692
1,0.015,1,0.0696,-0.029214,0.005781,0.06642,-0.002563,-0.001906,-0.001515
1,0.015,1,0.0715,-0.038271,0.0055,0.04698,-0.001829,-0.004311,-0.001732
1,0.015,1,0.0733,-0.041995,-0.004325,0.038048,-0.001584,-0.004285,-0.001118
1,0.015,1,0.0752,-0.04158,1.8E-05,0.053066,-0.001866,-0.002667,-0.001228
1,0.015,1,0.0771,-0.047809,-0.000803,8E-05,-0.000185,-0.007777,-0.001251
1,0.015,1,0.079,-0.039444,-0.002215,0.017655,-0.000376,-0.005522,-0.001487
1,0.015,1,0.0808,-0.041825,0.00027,0.039815,-0.001126,-0.002903,-0.001339
1,0.015,1,0.0827,-0.047847,0.000478,0.020983,-0.000773,-0.00521,-0.00156
1,0.015,1,0.0845,-0.039997,-0.001536,0.021214,-0.00077,-0.003651,-0.001108
1,0.015,1,0.0864,-0.035574,-0.001094,0.033003,-0.001003,-0.00234,-0.000894
1,0.015,1,0.0882,-0.041759,0.005529,0.017423,-0.000162,-0.003971,-0.002325
1,0.015,1,0.09,-0.035592,0.004508,0.015386,-0.000576,-0.003655,-0.001691
1,0.015,1,0.0935,-0.039765,0.004947,0.021316,-0.000504,-0.002125,-0.001879
1,0.015,1,0.0952,-0.033611,0.003754,0.031268,-0.000937,-0.000579,-0.001434
1,0.015,1,0.0969,-0.037245,7.8E-05,0.050229,-0.001738,0.001759,-0.001196
1,0.015,1,0.0986,-0.038523,-0.000451,0.038372,-0.000969,0.000675,-0.001461
1,0.015,1,0.1003,-0.040203,-0.001537,0.05461,-0.001669,0.002415,-0.001203
1,0.015,1,0.1019,-0.039741,0.000497,0.050853,-0.001834,0.002022,-0.001629
1,0.015,1,0.1051,-0.037352,0.003447,0.035665,-0.00147,0.001563,-0.001461
