m,d,p,rho,Fx,Fy,Fz,Tx,Ty,Tz
1,0.015,1,0.1067,-0.043156,0.001767,0.051767,-0.001523,0.003667,-0.001823
1,0.015,1,0.1082,-0.046456,-0.003237,0.05569,-0.00176,0.004529,-0.001141
1,0.015,1,0.1112,-0.041401,0.004359,0.045484,-0.00148,0.00418,-0.00195
1,0.015,1,0.1127,-0.049922,0.005528,0.046873,-0.001332,0.00517,-0.002003
1,0.015,1,0.1141,-0.05193,0.000129,0.047327,-0.001474,0.005562,-0.001689
1,0.015,1,0.1168,-0.078281,-0.006554,0.047667,-0.001802,0.006748,-0.001847
1,0.015,1,0.1181,-0.067149,-0.007483,0.037366,-0.001743,0.005799,-0.000949
1,0.015,1,0.1206,-0.078593,0.00229,0.022391,-0.0007,0.005657,-0.002551
1,0.015,1,0.1229,-0.061535,-0.001175,0.030293,-0.000988,0.006122,-0.00198
1,0.015,1,0.124,-0.063171,-0.001105,0.027619,-0.000971,0.006271,-0.001937
1,0.015,1,0.1261,-0.066231,0.002649,0.032213,-0.000955,0.007217,-0.002493
1,0.015,1,0.128,-0.062917,-0.001867,0.025793,-0.00097,0.006928,-0.001832
1,0.015,1,0.1306,-0.068353,0.001154,0.018542,-0.000568,0.007111,-0.002324
1,0.015,1,0.132,-0.061362,0.000227,0.017608,-0.000535,0.006692,-0.002019
1,0.015,1,0.1339,-0.064392,2.3E-05,0.013436,-0.00043,0.007075,-0.002093
1,0.015,1,0.136,-0.066709,-0.000939,0.001878,-0.00016,0.00726,-0.002097
1,0.015,2,0,-0.008308,-0.001034,0.002118,-0.000322,0.001903,-0.000344
1,0.015,2,0.0024,-0.024898,0.001741,0.015599,-0.000273,0.0026,-0.000759
1,0.015,2,0.0041,-0.020703,0.001624,0.016273,-0.000234,0.00096,-0.000455
1,0.015,2,0.0062,-0.05134,1.7E-05,0.039232,-0.001167,0.001432,-0.001212
1,0.015,2,0.0087,-0.037284,0.005463,0.037761,-0.000307,-0.002399,-0.000169
1,0.015,2,0.0106,-0.073048,-0.005904,0.067162,-0.003276,-0.004149,-0.004443
1,0.015,2,0.0126,-0.057612,-0.006738,0.054235,-0.002892,-0.004583,-0.003239
1,0.015,2,0.0149,-0.082491,0.012975,0.094421,-0.001172,-0.01338,0.000622
1,0.015,2,0.016,-0.06148,0.006077,0.056508,-0.000853,-0.00605,-0.000492
1,0.015,2,0.0185,-0.07865,0.000817,0.086158,-0.003005,-0.013298,-0.002449
1,0.015,2,0.0211,-0.068022,3.2E-05,0.077579,-0.002471,-0.013783,-0.001946
1,0.015,2,0.0225,-0.070786,0.007644,0.077414,-0.00159,-0.013915,-0.000378
1,0.015,2,0.0253,-0.110877,0.007946,0.09972,-0.002231,-0.01698,-0.001045
1,0.015,2,0.0268,-0.113263,-0.003979,0.125038,-0.004642,-0.025769,-0.004534
1,0.015,2,0.0282,-0.07642,-0.005631,0.082587,-0.003368,-0.017311,-0.003933
1,0.015,2,0.0313,-0.115122,0.008593,0.120086,-0.002635,-0.026109,-0.001071
1,0.015,2,0.0329,-0.083892,0.001135,0.089972,-0.002852,-0.02077,-0.002084
1,0.015,2,0.0345,-0.081171,0.003041,0.092156,-0.002726,-0.022427,-0.001909
1,0.015,2,0.0361,-0.097403,-0.002993,0.117623,-0.004031,-0.030277,-0.003871
1,0.015,2,0.0395,-0.115473,0.003918,0.104821,-0.00286,-0.025843,-0.002187
1,0.015,2,0.0412,-0.077586,-0.005673,0.091195,-0.004021,-0.024845,-0.004985
1,0.015,2,0.0429,-0.144246,-0.013198,0.158104,-0.005664,-0.043939,-0.008719
1,0.015,2,0.0447,-0.117742,0.011829,0.122198,-0.002952,-0.033864,-0.000112
1,0.015,2,0.0464,-0.110639,0.002539,0.119575,-0.004175,-0.034102,-0.003409
1,0.015,2,0.0482,-0.108672,0.003416,0.121982,-0.003927,-0.035946,-0.003007
1,0.015,2,0.05,-0.08983,-0.006073,0.119789,-0.0038,-0.03611,-0.004398
1,0.015,2,0.0537,-0.101452,0.009474,0.115803,-0.003578,-0.035453,-0.000595
1,0.015,2,0.0555,-0.083786,0.004218,0.100763,-0.003498,-0.031875,-0.00144
1,0.015,2,0.0574,-0.092718,0.00306,0.105806,-0.003708,-0.03381,-0.002398
1,0.015,2,0.0593,-0.075073,0.002346,0.095851,-0.003039,-0.030711,-0.001969
1,0.015,2,0.0611,-0.0691,0.005086,0.110014,-0.003823,-0.035862,-0.000829
1,0.015,2,0.063,-0.070704,-0.00684,0.094547,-0.002992,-0.030947,-0.00395
1,0.015,2,0.0649,-0.050734,0.006274,0.093225,-0.003373,-0.030581,0.000268
1,0.015,2,0.0668,-0.060216,0.00406,0.102179,-0.003523,-0.033887,-0.000848
1,0.015,2,0.0687,-0.056611,0.001242,0.097236,-0.003211,-0.032574,-0.001476
1,0.015,2,0.0706,-0.080373,-0.014191,0.099654,-0.003608,-0.004085,-0.001898
1,0.015,2,0.0725,-0.094787,-0.003206,0.053211,-0.002771,-0.007618,-0.002863
1,0.015,2,0.0744,-0.092779,0.001291,0.016192,-0.001966,-0.010352,-0.003521
1,0.015,2,0.0763,-0.083651,-0.015679,0.045097,-0.002186,-0.006948,-0.001444
1,0.015,2,0.0782,-0.089452,0.013404,0.027425,-0.002141,-0.007618,-0.004041
1,0.015,2,0.08,-0.087716,0.0178,0.050513,-0.003367,-0.005555,-0.004481
1,0.015,2,0.0838,-0.078683,-0.000584,0.05302,-0.002725,-0.003902,-0.002617
1,0.015,2,0.0856,-0.080961,-0.012168,0.025955,-0.001072,-0.00557,-0.00129
1,0.015,2,0.0874,-0.078294,-0.001175,0.023364,-0.001461,-0.005022,-0.002678
1,0.015,2,0.0892,-0.071925,0.008456,0.028143,-0.00239,-0.003178,-0.003325
1,0.015,2,0.091,-0.069029,-0.007085,0.044246,-0.001994,-0.00138,-0.00159
1,0.015,2,0.0928,-0.062453,-0.002088,0.051303,-0.002062,-0.000218,-0.001985
1,0.015,2,0.0945,-0.068466,-0.009402,0.049329,-0.002216,-7.4E-05,-0.001369
1,0.015,2,0.0963,-0.07697,0.002968,0.081124,-0.003537,0.00448,-0.002817
1,0.015,2,0.0997,-0.063894,0.012367,0.058579,-0.002816,0.003089,-0.003266
1,0.015,2,0.1013,-0.085046,-0.006102,0.073302,-0.002992,0.005272,-0.00213
1,0.015,2,0.103,-0.078866,0.001972,0.072341,-0.002777,0.005982,-0.002787
1,0.015,2,0.1046,-0.069759,-0.010402,0.06995,-0.003025,0.005648,-0.000798
1,0.015,2,0.1062,-0.064765,0.004055,0.055936,-0.002434,0.004559,-0.002823
1,0.015,2,0.1093,-0.07297,-0.001211,0.056708,-0.002115,0.005175,-0.002082
1,0.015,2,0.1108,-0.076424,-0.004189,0.062702,-0.002607,0.006291,-0.002097
1,0.015,2,0.1122,-0.073972,-0.003102,0.059013,-0.002396,0.006295,-0.001951
1,0.015,2,0.1151,-0.084215,-0.005564,0.065364,-0.002627,0.007842,-0.001824
1,0.015,2,0.1165,-0.084778,-0.004431,0.06612,-0.00271,0.008131,-0.002101
1,0.015,2,0.1191,-0.088617,0.000501,0.059196,-0.002155,0.008354,-0.002766
1,0.015,2,0.1204,-0.083415,-0.005045,0.056806,-0.002465,0.008011,-0.002058
1,0.015,2,0.1228,-0.086953,0.004683,0.056328,-0.001861,0.0086,-0.003225
1,0.015,2,0.125,-0.09288,-0.001993,0.055812,-0.002168,0.0093,-0.002645
1,0.015,2,0.1261,-0.093837,0.000328,0.053502,-0.002009,0.009369,-0.003025
1,0.015,2,0.1281,-0.095583,-0.003863,0.049905,-0.002141,0.009812,-0.002379
1,0.015,2,0.1308,-0.099793,0.004372,0.042135,-0.00121,0.009976,-0.003406
1,0.015,2,0.1323,-0.102811,-0.001558,0.038864,-0.001581,0.010419,-0.003037
1,0.015,2,0.1343,-0.10509,-0.004577,0.034857,-0.001529,0.010765,-0.002799
1,0.015,2,0.1363,-0.112897,-0.001722,0.024801,-0.001078,0.011272,-0.003165
1,0.015,3,0,-0.023171,0.001239,0.018646,-0.000173,0.002694,-0.000448
1,0.015,3,0.0024,-0.058973,0.001827,0.045745,-0.001367,0.003457,-0.001984
1,0.015,3,0.004,-0.066228,0.000101,0.05484,-0.001725,0.001314,-0.002081
1,0.015,3,0.0061,-0.067888,-0.004845,0.059062,-0.002645,-0.001012,-0.002956
1,0.015,3,0.0086,-0.114475,-0.008654,0.098783,-0.005016,-0.004467,-0.006211
1,0.015,3,0.0105,-0.092732,0.011032,0.086161,-0.000145,-0.0067,0.000318
1,0.015,3,0.0126,-0.07577,0.000849,0.074119,-0.002352,-0.007654,-0.002349
1,0.015,3,0.0148,-0.134893,-0.005284,0.100158,-0.003827,-0.007339,-0.004395
1,0.015,3,0.0172,-0.080298,0.005714,0.090691,-0.002767,-0.014791,-0.001722
1,0.015,3,0.0184,-0.145989,0.012238,0.120356,-0.002071,-0.014632,-0.001376
1,0.015,3,0.021,-0.128434,-0.010082,0.133088,-0.005985,-0.023289,-0.006497
1,0.015,3,0.0224,-0.085947,0.000696,0.105135,-0.003152,-0.021261,-0.002301
1,0.015,3,0.0252,-0.11911,-0.00059,0.152321,-0.004543,-0.034052,-0.003596
1,0.015,3,0.0267,-0.119443,-0.013161,0.128916,-0.005842,-0.027008,-0.007514
1,0.015,3,0.0281,-0.121895,0.017451,0.141592,-0.003376,-0.031973,0.001014
1,0.015,3,0.0312,-0.127208,-0.009307,0.131119,-0.005257,-0.029839,-0.006863
1,0.015,3,0.0328,-0.115749,0.011041,0.115358,-0.00299,-0.026679,-0.00108
1,0.015,3,0.0344,-0.109509,0.006001,0.124911,-0.003768,-0.03128,-0.002136
1,0.015,3,0.036,-0.119156,0.004109,0.134111,-0.004253,-0.03449,-0.003044
1,0.015,3,0.0394,-0.181186,0.001843,0.194209,-0.005354,-0.051821,-0.004449
1,0.015,3,0.0411,-0.10228,0.01011,0.139434,-0.003766,-0.039129,1.2E-05
1,0.015,3,0.0428,-0.098018,0.00199,0.117545,-0.003491,-0.032867,-0.002279
1,0.015,3,0.0446,-0.109685,-0.012799,0.117892,-0.004638,-0.033254,-0.007717
1,0.015,3,0.0463,-0.085069,-0.008028,0.124476,-0.004019,-0.036863,-0.005034
1,0.015,3,0.0481,-0.07989,0.004674,0.099497,-0.002932,-0.02947,-0.001132
1,0.015,3,0.0517,-0.089689,-7.3E-05,0.124779,-0.004332,-0.038362,-0.002856
1,0.015,3,0.0536,-0.071315,0.003006,0.104557,-0.003455,-0.032345,-0.001426
1,0.015,3,0.0554,-0.077325,-0.005506,0.113486,-0.003791,-0.035438,-0.00397
1,0.015,3,0.0573,-0.071646,0.002658,0.120175,-0.003801,-0.037899,-0.001799
1,0.015,3,0.0591,-0.074182,-0.006271,0.115155,-0.00351,-0.036943,-0.004477
1,0.015,3,0.061,-0.05651,-0.003225,0.102181,-0.003358,-0.032571,-0.003042
1,0.015,3,0.0629,-0.065398,-0.000844,0.109682,-0.003423,-0.03645,-0.002319
1,0.015,3,0.0648,-0.061579,0.002351,0.098217,-0.003236,-0.032285,-0.001483
1,0.015,3,0.0667,-0.096034,-0.007495,0.04713,-0.001864,-0.016088,-0.00556
1,0.015,3,0.0686,-0.106397,0.009274,0.08969,-0.003221,-0.029533,-0.000435
1,0.015,3,0.0705,-0.121255,-0.003573,0.103509,-0.005481,-0.001755,-0.004041
1,0.015,3,0.0724,-0.113893,-0.001229,0.073671,-0.004556,-0.001143,-0.004469
1,0.015,3,0.0743,-0.104515,0.012465,0.086519,-0.004904,-0.001131,-0.005212
1,0.015,3,0.0762,-0.103983,-0.003404,0.065541,-0.004388,-0.001504,-0.004017
1,0.015,3,0.078,-0.112485,-0.017736,0.059391,-0.003625,-0.002392,-0.002953
1,0.015,3,0.0818,-0.088039,0.01374,0.098627,-0.005507,0.004336,-0.004987
1,0.015,3,0.0836,-0.10327,0.00491,0.107972,-0.005605,0.004943,-0.004106
1,0.015,3,0.0855,-0.102277,-0.013294,0.106757,-0.005321,0.005703,-0.00241
1,0.015,3,0.0873,-0.094808,-0.003693,0.093886,-0.004847,0.005485,-0.002661
1,0.015,3,0.0891,-0.094083,0.009291,0.098339,-0.005151,0.00711,-0.004066
1,0.015,3,0.0909,-0.090087,0.005482,0.091059,-0.004782,0.006672,-0.003496
1,0.015,3,0.0927,-0.096974,-0.009092,0.094365,-0.005069,0.007177,-0.002653
1,0.015,3,0.0944,-0.09662,0.00205,0.096282,-0.004943,0.008802,-0.003627
1,0.015,3,0.0961,-0.095055,0.011097,0.089194,-0.004324,0.008581,-0.005276
1,0.015,3,0.0996,-0.088516,-1.8E-05,0.081671,-0.004178,0.009434,-0.003192
1,0.015,3,0.1012,-0.101986,-0.001951,0.091741,-0.00457,0.011439,-0.003737
1,0.015,3,0.1029,-0.101356,0.004397,0.084836,-0.003923,0.010863,-0.004344
1,0.015,3,0.1045,-0.093759,-0.003211,0.086454,-0.003983,0.010759,-0.002826
1,0.015,3,0.1061,-0.101522,-0.00658,0.076759,-0.004114,0.011355,-0.002503
1,0.015,3,0.1092,-0.113794,0.002253,0.07389,-0.003447,0.011905,-0.004639
1,0.015,3,0.1107,-0.109953,0.013664,0.082607,-0.003259,0.012648,-0.005583
1,0.015,3,0.1121,-0.109236,0.000524,0.076076,-0.003396,0.012323,-0.004374
1,0.015,3,0.115,-0.114659,-0.004691,0.071904,-0.003606,0.013104,-0.003839
1,0.015,3,0.1164,-0.122509,0.005606,0.072487,-0.002756,0.013711,-0.005141
1,0.015,3,0.119,-0.118673,-0.001692,0.066375,-0.003037,0.013371,-0.003913
1,0.015,3,0.1203,-0.123535,-0.002211,0.060002,-0.002868,0.013016,-0.004205
1,0.015,3,0.1227,-0.126786,0.004604,0.054018,-0.002,0.013204,-0.005031
1,0.015,3,0.1249,-0.135139,0.002304,0.051503,-0.001845,0.014107,-0.004588
1,0.015,3,0.126,-0.131061,0.004431,0.052535,-0.00182,0.013944,-0.005176
1,0.015,3,0.128,-0.132383,0.000875,0.051572,-0.001963,0.014555,-0.004819
1,0.015,3,0.1307,-0.138442,-0.002246,0.043133,-0.001951,0.01492,-0.004221
1,0.015,3,0.1323,-0.142133,-0.001852,0.039357,-0.001673,0.015291,-0.004661
1,0.015,3,0.1343,-0.142196,-0.003494,0.031531,-0.001528,0.01544,-0.004248
1,0.015,3,0.1363,-0.142311,0.000564,0.018127,-0.000615,0.015474,-0.004887
1,0.015,4,0,-0.01219,-0.001722,0.004344,-0.000617,0.002647,-0.000725
1,0.015,4,0.0023,-0.106909,-0.000255,0.032377,-0.001159,0.020263,-0.003795
1,0.015,4,0.0046,-0.096715,0.00272,0.050226,-0.000907,0.011689,-0.002833
1,0.015,4,0.0061,-0.062579,0.016369,0.055918,0.001473,0.001366,0.000822
1,0.015,4,0.0086,-0.102538,0.000851,0.071862,-0.002333,0.004597,-0.003508
1,0.015,4,0.0104,-0.12844,0.003403,0.076421,-0.001563,0.007333,-0.003864
1,0.015,4,0.0125,-0.137342,-0.010456,0.116788,-0.005305,-0.003652,-0.007221
1,0.015,4,0.0147,-0.093155,0.003389,0.074642,-0.001353,-0.002532,-0.001766
1,0.015,4,0.0171,-0.126843,9.4E-05,0.116653,-0.003567,-0.009832,-0.004106
1,0.015,4,0.0183,-0.122075,-0.003524,0.132868,-0.004866,-0.016227,-0.004513
1,0.015,4,0.0209,-0.15526,-0.001283,0.162706,-0.005914,-0.021717,-0.005591
1,0.015,4,0.0223,-0.087827,-0.001883,0.101224,-0.003831,-0.015488,-0.003067
1,0.015,4,0.0251,-0.137129,0.004964,0.161635,-0.004792,-0.028257,-0.002449
1,0.015,4,0.0266,-0.158974,0.014574,0.164663,-0.003461,-0.027083,-0.001637
1,0.015,4,0.028,-0.120126,-0.006901,0.134447,-0.005338,-0.024505,-0.005807
1,0.015,4,0.0311,-0.159716,-0.002352,0.157587,-0.005363,-0.028355,-0.006972
1,0.015,4,0.0327,-0.120149,0.001022,0.134709,-0.004139,-0.027181,-0.003885
1,0.015,4,0.0343,-0.144302,0.005982,0.160465,-0.004942,-0.033448,-0.002935
1,0.015,4,0.0376,-0.174505,0.001404,0.149149,-0.005324,-0.029665,-0.006134
1,0.015,4,0.0393,-0.135276,0.001978,0.154865,-0.004362,-0.036142,-0.003384
1,0.015,4,0.041,-0.111639,0.003291,0.124977,-0.004158,-0.029667,-0.002804
1,0.015,4,0.0427,-0.129053,-0.003414,0.152157,-0.005015,-0.037806,-0.004604
1,0.015,4,0.0444,-0.129985,0.018275,0.145951,-0.003304,-0.036479,0.001646
1,0.015,4,0.0462,-0.11733,0.003053,0.142778,-0.003957,-0.037082,-0.002138
1,0.015,4,0.0498,-0.103141,0.013217,0.136502,-0.003849,-0.037287,0.000365
1,0.015,4,0.0516,-0.175952,0.008677,0.180695,-0.005501,-0.048938,-0.003536
1,0.015,4,0.0534,-0.12223,0.002885,0.146688,-0.004724,-0.040822,-0.002904
1,0.015,4,0.0553,-0.118689,-0.001083,0.147876,-0.005004,-0.042725,-0.004191
1,0.015,4,0.0571,-0.108475,-0.004754,0.13751,-0.004349,-0.039919,-0.004789
1,0.015,4,0.059,-0.098887,-0.004175,0.137342,-0.004022,-0.040953,-0.004218
1,0.015,4,0.0609,-0.091595,-0.003521,0.134744,-0.004372,-0.04037,-0.003953
1,0.015,4,0.0628,-0.102795,-0.001124,0.137968,-0.00482,-0.041819,-0.003729
1,0.015,4,0.0646,-0.082285,0.005223,0.129149,-0.004344,-0.039676,-0.001404
1,0.015,4,0.0665,-0.094226,-0.006909,0.148244,-0.005024,-0.046401,-0.005333
1,0.015,4,0.0684,-0.092667,0.003238,0.138216,-0.004749,-0.043509,-0.001865
1,0.015,4,0.0703,-0.057044,-0.020248,0.11596,-0.009691,0.001285,-0.005822
1,0.015,4,0.0722,-0.079908,-0.02035,0.108701,-0.009406,-0.000325,-0.005807
1,0.015,4,0.0741,-0.073279,0.029867,0.084087,-0.007542,0.000194,-0.009394
1,0.015,4,0.076,-0.059855,-0.005884,0.013551,-0.004875,-0.004568,-0.007621
1,0.015,4,0.0798,-0.020415,-0.000759,0.056957,-0.006549,0.002245,-0.006266
1,0.015,4,0.0816,-0.058885,0.015042,0.038689,-0.006607,-0.000131,-0.007222
1,0.015,4,0.0835,-0.043479,0.026221,0.076142,-0.00717,0.002517,-0.00779
1,0.015,4,0.0853,-0.07182,-0.001424,0.110277,-0.007846,0.005024,-0.00731
1,0.015,4,0.0872,-0.040451,0.002614,0.046378,-0.005599,0.003119,-0.006971
1,0.015,4,0.089,-0.030789,0.036051,0.059097,-0.005387,0.006338,-0.008568
1,0.015,4,0.0908,-0.055789,0.004673,0.08868,-0.006689,0.006769,-0.006182
1,0.015,4,0.0925,-0.02721,-0.011444,0.065694,-0.005888,0.007483,-0.003516
1,0.015,4,0.0943,-0.034099,-0.001638,0.094306,-0.006748,0.010295,-0.004007
1,0.015,4,0.096,-0.054817,-0.014996,0.083293,-0.006529,0.009554,-0.004201
1,0.015,4,0.0994,-0.052372,0.014996,0.077685,-0.00613,0.010694,-0.00627
1,0.015,4,0.1011,-0.047222,0.013585,0.09078,-0.005939,0.011085,-0.005908
1,0.015,4,0.1028,-0.055147,0.025694,0.081974,-0.0048,0.01202,-0.007158
1,0.015,4,0.1044,-0.063636,0.00086,0.08945,-0.006163,0.012939,-0.005182
1,0.015,4,0.1075,-0.064104,0.003595,0.082006,-0.004728,0.013409,-0.005294
1,0.015,4,0.1091,-0.074055,0.010081,0.086683,-0.005118,0.013749,-0.005897
1,0.015,4,0.1106,-0.064887,0.004606,0.083576,-0.004997,0.014298,-0.004945
1,0.015,4,0.112,-0.071954,-0.01182,0.075717,-0.005281,0.013723,-0.003212
1,0.015,4,0.1149,-0.083664,0.005316,0.076793,-0.003952,0.015027,-0.005165
1,0.015,4,0.1163,-0.088533,0.001706,0.073977,-0.003751,0.015393,-0.005503
1,0.015,4,0.1189,-0.109952,-0.001732,0.069927,-0.004462,0.016197,-0.004436
1,0.015,4,0.1202,-0.111642,-0.004812,0.071077,-0.004326,0.016503,-0.004182
1,0.015,4,0.1226,-0.113978,-0.001847,0.060732,-0.003424,0.015266,-0.004902
1,0.015,4,0.1249,-0.124625,0.003511,0.051907,-0.002771,0.015211,-0.005389
1,0.015,4,0.127,-0.13478,-0.001002,0.042351,-0.002311,0.014912,-0.005117
1,0.015,4,0.1289,-0.145456,-0.008481,0.027309,-0.002733,0.014087,-0.004466
1,0.015,4,0.1307,-0.153139,-0.002657,0.035862,-0.00187,0.015627,-0.005631
1,0.015,4,0.1322,-0.154126,0.003198,0.034983,-0.001477,0.015915,-0.005963
1,0.015,4,0.1342,-0.160082,-0.003244,0.032244,-0.001659,0.016458,-0.00515
1,0.015,4,0.1363,-0.161105,0.0046,0.033887,-0.000791,0.01747,-0.005912
1,0.015,5,0,-0.037617,0.000409,0.014616,-0.000555,0.008589,-0.00108
1,0.015,5,0.0022,-0.068736,-0.003467,0.043748,-0.002308,0.010762,-0.002547
1,0.015,5,0.0044,-0.106331,0.003468,0.067789,-0.002014,0.013933,-0.003861
1,0.015,5,0.0066,-0.117534,-0.005364,0.114671,-0.005067,0.004542,-0.004485
1,0.015,5,0.0083,-0.08948,-0.001094,0.079244,-0.0029,0.003636,-0.002811
1,0.015,5,0.0102,-0.110235,-0.000392,0.131311,-0.004921,-0.00514,-0.004547
1,0.015,5,0.0122,-0.130526,-0.015824,0.136944,-0.007365,-0.003764,-0.007347
1,0.015,5,0.0144,-0.108232,0.007692,0.138573,-0.00275,-0.011778,-0.001822
1,0.015,5,0.0168,-0.155742,-0.00018,0.172495,-0.004427,-0.013074,-0.003518
1,0.015,5,0.018,-0.159709,-0.001783,0.201671,-0.00716,-0.021425,-0.005726
1,0.015,5,0.0206,-0.145198,0.007595,0.198995,-0.005029,-0.026405,-0.002561
1,0.015,5,0.0233,-0.101048,0.005148,0.132902,-0.003315,-0.018675,-0.001946
1,0.015,5,0.0247,-0.15281,-0.000481,0.156445,-0.004167,-0.016685,-0.004929
1,0.015,5,0.0262,-0.202809,0.009025,0.230714,-0.006158,-0.03112,-0.004869
1,0.015,5,0.0292,-0.108728,0.001893,0.139914,-0.004155,-0.022836,-0.003192
1,0.015,5,0.0307,-0.160861,-0.008959,0.201106,-0.008113,-0.033947,-0.008098
1,0.015,5,0.0323,-0.175772,-0.015239,0.183911,-0.007159,-0.028368,-0.009044
1,0.015,5,0.0355,-0.130642,-0.005197,0.179357,-0.006409,-0.035958,-0.005923
1,0.015,5,0.0372,-0.18827,-0.002939,0.235086,-0.008278,-0.045966,-0.007459
1,0.015,5,0.0388,-0.134909,-0.008689,0.197573,-0.007492,-0.042564,-0.007617
1,0.015,5,0.0405,-0.149659,-0.002593,0.195769,-0.006947,-0.042136,-0.005466
1,0.015,5,0.0422,-0.114388,-0.00099,0.13502,-0.005189,-0.027795,-0.004342
