Timestamp, power, temperature, voltage
0,25,18.95,3.4922
1,25,19.074,3.4571
2,25,19.202,3.4375
3,25,19.333,3.4155
4,25,19.467,3.3975
5,25,19.604,3.3806
6,25,19.742,3.3657
7,25,19.881,3.3521
8,25,20.02,3.3397
9,25,20.161,3.3285
10,25,20.302,3.3182
11,25,20.442,3.3088
12,25,20.583,3.3001
13,25,20.724,3.2921
14,25,20.864,3.2847
15,25,21.004,3.2778
16,25,21.144,3.2714
17,25,21.283,3.2653
18,25,21.421,3.2596
19,25,21.559,3.2542
20,25,21.696,3.2491
21,25,21.833,3.2443
22,25,21.97,3.2396
23,25,22.105,3.2352
24,25,22.241,3.2309
25,25,22.375,3.2268
26,25,22.509,3.2228
27,25,22.643,3.219
28,25,22.776,3.2152
29,25,22.908,3.2116
30,25,23.04,3.208
31,25,23.172,3.2046
32,25,23.303,3.2012
33,25,23.433,3.1979
34,25,23.563,3.1946
35,25,23.693,3.1914
36,25,23.822,3.1882
37,25,23.95,3.1851
38,25,24.078,3.182
39,25,24.206,3.179
40,25,24.333,3.176
41,25,24.46,3.173
42,25,24.586,3.1701
43,25,24.712,3.1672
44,25,24.837,3.1643
45,25,24.962,3.1614
46,25,25.086,3.1586
47,25,25.21,3.1558
48,25,25.333,3.153
49,25,25.456,3.1502
50,25,25.579,3.1474
51,25,25.701,3.1447
52,25,25.822,3.142
53,25,25.944,3.1393
54,25,26.064,3.1366
55,25,26.184,3.1339
56,25,26.304,3.1312
57,25,26.423,3.1286
58,25,26.542,3.126
59,25,26.66,3.1233
60,25,26.778,3.1207
61,25,26.895,3.1181
62,25,27.011,3.1155
63,25,27.128,3.1129
64,25,27.243,3.1104
65,25,27.358,3.1078
66,25,27.473,3.1053
67,25,27.587,3.1027
68,25,27.701,3.1002
69,25,27.814,3.0977
70,25,27.927,3.0952
71,25,28.039,3.0927
72,25,28.151,3.0902
73,25,28.262,3.0877
74,25,28.372,3.0852
75,25,28.483,3.0828
76,25,28.592,3.0803
77,25,28.701,3.0779
78,25,28.81,3.0754
79,25,28.918,3.073
80,25,29.025,3.0706
81,25,29.133,3.0681
82,25,29.239,3.0657
83,25,29.345,3.0633
84,25,29.451,3.0609
85,25,29.556,3.0586
86,25,29.66,3.0562
87,25,29.764,3.0538
88,25,29.868,3.0514
89,25,29.971,3.0491
90,25,30.073,3.0467
91,25,30.175,3.0444
92,25,30.277,3.0421
93,25,30.378,3.0397
94,25,30.478,3.0374
95,25,30.578,3.0351
96,25,30.678,3.0328
97,25,30.777,3.0305
98,25,30.875,3.0282
99,25,30.973,3.0259
100,25,31.071,3.0236
101,25,31.168,3.0214
102,25,31.264,3.0191
103,25,31.361,3.0168
104,25,31.456,3.0146
105,25,31.551,3.0123
106,25,31.646,3.0101
107,25,31.74,3.0079
108,25,31.834,3.0056
109,25,31.927,3.0034
110,25,32.02,3.0012
111,25,32.113,2.999
112,25,32.204,2.9968
113,25,32.296,2.9946
114,25,32.387,2.9924
115,25,32.477,2.9902
116,25,32.567,2.988
117,25,32.657,2.9859
118,25,32.746,2.9837
119,25,32.835,2.9816
120,25,32.923,2.9794
121,25,33.011,2.9773
122,25,33.098,2.9751
123,25,33.186,2.973
124,25,33.272,2.9709
125,25,33.358,2.9688
126,25,33.444,2.9666
127,25,33.529,2.9645
128,25,33.614,2.9624
129,25,33.699,2.9603
130,25,33.783,2.9583
131,25,33.866,2.9562
132,25,33.95,2.9541
133,25,34.032,2.952
134,25,34.115,2.95
135,25,34.197,2.9479
136,25,34.279,2.9459
137,25,34.36,2.9438
138,25,34.441,2.9418
139,25,34.521,2.9398
140,25,34.601,2.9377
141,25,34.681,2.9357
142,25,34.76,2.9337
143,25,34.839,2.9317
144,25,34.918,2.9297
145,25,34.996,2.9277
146,25,35.074,2.9257
147,25,35.151,2.9238
148,25,35.229,2.9218
149,25,35.305,2.9198
150,25,35.382,2.9179
151,25,35.458,2.9159
152,25,35.533,2.914
153,25,35.609,2.912
154,25,35.684,2.9101
155,25,35.758,2.9082
156,25,35.833,2.9063
157,25,35.907,2.9043
158,25,35.98,2.9024
159,25,36.054,2.9005
160,25,36.127,2.8986
161,25,36.199,2.8968
162,25,36.271,2.8949
163,25,36.343,2.893
164,25,36.415,2.8911
165,25,36.486,2.8893
166,25,36.557,2.8874
167,25,36.628,2.8856
168,25,36.698,2.8837
169,25,36.769,2.8819
170,25,36.838,2.88
171,25,36.908,2.8782
172,25,36.977,2.8764
173,25,37.046,2.8746
174,25,37.114,2.8728
175,25,37.183,2.871
176,25,37.25,2.8692
177,25,37.318,2.8674
178,25,37.386,2.8656
179,25,37.453,2.8638
180,25,37.519,2.8621
181,25,37.586,2.8603
182,25,37.652,2.8585
183,25,37.718,2.8568
184,25,37.784,2.855
185,25,37.849,2.8533
186,25,37.914,2.8516
187,25,37.979,2.8498
188,25,38.044,2.8481
189,25,38.108,2.8464
190,25,38.172,2.8447
191,25,38.236,2.843
192,25,38.299,2.8413
193,25,38.362,2.8396
194,25,38.425,2.8379
195,25,38.488,2.8362
196,25,38.551,2.8345
197,25,38.613,2.8329
198,25,38.675,2.8312
199,25,38.736,2.8295
200,25,38.798,2.8279
201,25,38.859,2.8262
202,25,38.92,2.8246
203,25,38.981,2.823
204,25,39.041,2.8213
205,25,39.102,2.8197
206,25,39.162,2.8181
207,25,39.221,2.8164
208,25,39.281,2.8148
209,25,39.34,2.8132
210,25,39.399,2.8116
211,25,39.458,2.81
212,25,39.517,2.8084
213,25,39.575,2.8068
214,25,39.633,2.8052
215,25,39.691,2.8037
216,25,39.749,2.8021
217,25,39.807,2.8005
218,25,39.864,2.7989
219,25,39.921,2.7974
220,25,39.978,2.7958
221,25,40.035,2.7943
222,25,40.091,2.7927
223,25,40.148,2.7912
224,25,40.204,2.7896
225,25,40.259,2.7881
226,25,40.315,2.7866
227,25,40.37,2.785
228,25,40.426,2.7835
229,25,40.481,2.782
230,25,40.536,2.7804
231,25,40.59,2.7789
232,25,40.645,2.7774
233,25,40.699,2.7759
234,25,40.753,2.7744
235,25,40.807,2.7729
236,25,40.861,2.7714
237,25,40.914,2.7699
238,25,40.968,2.7684
239,25,41.021,2.7669
240,25,41.074,2.7654
241,25,41.127,2.7639
242,25,41.179,2.7624
243,25,41.232,2.7609
244,25,41.284,2.7595
245,25,41.336,2.758
246,25,41.388,2.7565
247,25,41.44,2.755
248,25,41.492,2.7536
249,25,41.543,2.7521
250,25,41.595,2.7506
251,25,41.646,2.7491
252,25,41.697,2.7477
253,25,41.748,2.7462
254,25,41.798,2.7448
255,25,41.849,2.7433
256,25,41.899,2.7418
257,25,41.949,2.7404
258,25,41.999,2.7389
259,25,42.049,2.7374
260,25,42.099,2.736
261,25,42.149,2.7345
262,25,42.198,2.7331
263,25,42.248,2.7316
264,25,42.297,2.7302
265,25,42.346,2.7287
266,25,42.395,2.7273
267,25,42.444,2.7258
268,25,42.492,2.7243
269,25,42.541,2.7229
270,25,42.589,2.7214
271,25,42.638,2.72
272,25,42.686,2.7185
273,25,42.734,2.7171
274,25,42.782,2.7156
275,25,42.829,2.7141
276,25,42.877,2.7127
277,25,42.925,2.7112
278,25,42.972,2.7098
279,25,43.02,2.7083
280,25,43.067,2.7068
281,25,43.114,2.7054
282,25,43.161,2.7039
283,25,43.208,2.7024
284,25,43.254,2.701
285,25,43.301,2.6995
286,25,43.348,2.698
287,25,43.394,2.6966
288,25,43.441,2.6951
289,25,43.487,2.6936
290,25,43.533,2.6921
291,25,43.579,2.6906
292,25,43.625,2.6891
293,25,43.671,2.6877
294,25,43.717,2.6862
295,25,43.763,2.6847
296,25,43.809,2.6832
297,25,43.854,2.6817
298,25,43.9,2.6802
299,25,43.945,2.6787
300,25,43.99,2.6772
301,25,44.036,2.6757
302,25,44.081,2.6741
303,25,44.126,2.6726
304,25,44.171,2.6711
305,25,44.216,2.6696
306,25,44.261,2.6681
307,25,44.306,2.6665
308,25,44.351,2.665
309,25,44.396,2.6635
310,25,44.441,2.6619
311,25,44.485,2.6604
312,25,44.53,2.6588
313,25,44.574,2.6573
314,25,44.619,2.6557
315,25,44.664,2.6542
316,25,44.708,2.6526
317,25,44.752,2.651
318,25,44.797,2.6495
319,25,44.841,2.6479
320,25,44.885,2.6463
321,25,44.93,2.6447
322,25,44.974,2.6431
323,25,45.018,2.6415
324,25,45.062,2.6399
325,25,45.106,2.6383
326,25,45.15,2.6367
327,25,45.194,2.6351
328,25,45.238,2.6335
329,25,45.282,2.6319
330,25,45.326,2.6303
331,25,45.37,2.6286
332,25,45.414,2.627
333,25,45.458,2.6253
334,25,45.502,2.6237
335,25,45.546,2.6221
336,25,45.59,2.6204
337,25,45.634,2.6187
338,25,45.678,2.6171
339,25,45.722,2.6154
340,25,45.766,2.6137
341,25,45.809,2.6121
342,25,45.853,2.6104
343,25,45.897,2.6087
344,25,45.941,2.607
345,25,45.985,2.6053
346,25,46.029,2.6036
347,25,46.073,2.6019
348,25,46.117,2.6002
349,25,46.161,2.5985
350,25,46.205,2.5967
351,25,46.249,2.595
352,25,46.293,2.5933
353,25,46.337,2.5916
354,25,46.381,2.5898
355,25,46.426,2.5881
356,25,46.47,2.5863
357,25,46.514,2.5846
358,25,46.558,2.5828
359,25,46.602,2.581
360,25,46.647,2.5793
361,25,46.691,2.5775
362,25,46.735,2.5757
363,25,46.78,2.574
364,25,46.824,2.5722
365,25,46.869,2.5704
366,25,46.913,2.5686
367,25,46.958,2.5668
368,25,47.002,2.565
369,25,47.047,2.5632
370,25,47.092,2.5614
371,25,47.137,2.5596
372,25,47.181,2.5578
373,25,47.226,2.556
374,25,47.271,2.5541
375,25,47.316,2.5523
376,25,47.361,2.5505
377,25,47.407,2.5486
378,25,47.452,2.5468
379,25,47.497,2.545
380,25,47.542,2.5431
381,25,47.588,2.5413
382,25,47.633,2.5395
383,25,47.679,2.5376
384,25,47.724,2.5358
385,25,47.77,2.5339
386,25,47.816,2.5321
387,25,47.861,2.5302
388,25,47.907,2.5284
389,25,47.953,2.5265
390,25,47.999,2.5246
391,25,48.045,2.5228
392,25,48.091,2.5209
393,25,48.137,2.5191
394,25,48.184,2.5172
395,25,48.23,2.5153
396,25,48.277,2.5135
397,25,48.323,2.5116
398,25,48.37,2.5097
399,25,48.417,2.5079
400,25,48.463,2.506
401,25,48.51,2.5041
402,25,48.557,2.5023
403,25,48.604,2.5004
404,25,48.651,2.4986
405,25,48.698,2.4967
406,25,48.746,2.4948
407,25,48.793,2.493
408,25,48.84,2.4911
409,25,48.888,2.4893
410,25,48.936,2.4874
411,25,48.983,2.4856
412,25,49.031,2.4837
413,25,49.079,2.4819
414,25,49.127,2.48
415,25,49.175,2.4782
416,25,49.223,2.4763
417,25,49.271,2.4745
418,25,49.319,2.4727
419,25,49.368,2.4708
420,25,49.416,2.469
421,25,49.464,2.4672
422,25,49.513,2.4654
423,25,49.562,2.4636
424,25,49.61,2.4618
425,25,49.659,2.46
426,25,49.708,2.4582
427,25,49.757,2.4564
428,25,49.806,2.4546
429,25,49.855,2.4528
430,25,49.904,2.451
431,25,49.954,2.4493
432,25,50.003,2.4475
433,25,50.052,2.4458
434,25,50.102,2.444
435,25,50.151,2.4423
436,25,50.201,2.4405
437,25,50.251,2.4388
438,25,50.3,2.4371
439,25,50.35,2.4354
440,25,50.4,2.4337
441,25,50.45,2.432
442,25,50.5,2.4303
443,25,50.55,2.4286
444,25,50.6,2.427
445,25,50.65,2.4253
446,25,50.7,2.4237
447,25,50.751,2.422
448,25,50.801,2.4204
449,25,50.851,2.4188
450,25,50.902,2.4172
451,25,50.952,2.4156
452,25,51.002,2.414
453,25,51.053,2.4124
454,25,51.103,2.4108
455,25,51.154,2.4093
456,25,51.205,2.4077
457,25,51.255,2.4062
458,25,51.306,2.4047
459,25,51.356,2.4032
460,25,51.407,2.4017
461,25,51.458,2.4002
462,25,51.508,2.3987
463,25,51.559,2.3972
464,25,51.61,2.3958
465,25,51.661,2.3943
466,25,51.711,2.3929
467,25,51.762,2.3915
468,25,51.813,2.3901
469,25,51.863,2.3887
470,25,51.914,2.3873
471,25,51.965,2.386
472,25,52.015,2.3846
473,25,52.066,2.3833
474,25,52.117,2.3819
475,25,52.167,2.3806
476,25,52.218,2.3793
477,25,52.269,2.378
478,25,52.319,2.3768
479,25,52.37,2.3755
480,25,52.42,2.3743
481,25,52.47,2.373
482,25,52.521,2.3718
483,25,52.571,2.3706
484,25,52.621,2.3694
485,25,52.672,2.3682
486,25,52.722,2.367
487,25,52.772,2.3659
488,25,52.822,2.3647
