timesteps, current B1, voltage,ts
232,27.14,24.027,0.773
233,28.546,23.997,0.777
234,25.946,24.035,0.78
235,27.4785,24.02,0.783
236,26.5365,24.029,0.787
237,26.43,24.033,0.79
238,26.319,24.039,0.793
239,27.4575,24.016,0.797
240,27.53,24,0.8
241,27.359,24.012,0.803
242,27.981,23.987,0.807
243,28.566,23.996,0.81
244,28.6815,23.975,0.813
245,28.2215,23.985,0.817
246,27.241,23.996,0.82
247,28.334,23.984,0.823
248,26.2735,24.007,0.827
249,26.8385,24.012,0.83
250,27.2425,24.001,0.833
251,27.1285,24.017,0.837
252,25.3765,24.037,0.84
253,22.391,24.083,0.843
254,21.262,24.113,0.847
255,21.823,24.097,0.85
256,21.574,24.1,0.853
257,24.5,24.063,0.857
258,25.876,24.019,0.86
259,25.6315,24.04,0.863
260,25.832,24.033,0.867
261,25.8095,24.018,0.87
262,25.6245,24.028,0.873
263,24.5015,24.037,0.877
264,24.2365,24.042,0.88
265,23.9195,24.065,0.883
266,23.3545,24.059,0.887
267,23.0695,24.079,0.89
268,23.2645,24.064,0.893
269,25.7665,24.034,0.897
270,25.237,24.037,0.9
271,24.742,24.038,0.903
272,24.3105,24.045,0.907
273,24.009,24.051,0.91
274,24.8005,24.026,0.913
275,24.4445,24.047,0.917
276,23.9305,24.055,0.92
277,24.1115,24.054,0.923
278,23.542,24.065,0.927
279,24.934,24.026,0.93
280,25.771,24.018,0.933
281,25.116,24.015,0.937
282,24.877,24.023,0.94
283,24.6895,24.035,0.943
284,25.5445,24.021,0.947
285,26.8655,24.001,0.95
286,25.2555,24.017,0.953
287,24.281,24.031,0.957
288,24.5725,24.037,0.96
289,24.524,24.034,0.963
290,23.959,24.037,0.967
291,24.9225,24.02,0.97
292,24.947,24.018,0.973
293,24.5115,24.041,0.977
294,23.6335,24.045,0.98
295,23.417,24.04,0.983
296,23.7685,24.026,0.987
297,23.938,24.037,0.99
298,25.959,23.996,0.993
299,25.334,24.008,0.997
300,24.2395,24.021,1
301,24.9595,24.003,1.003
302,25.647,24.01,1.007
303,25.3755,24.006,1.01
304,25.8095,24.001,1.013
305,25.549,23.999,1.017
306,26.918,23.971,1.02
307,27.9755,23.953,1.023
308,25.4835,23.99,1.027
309,19.0635,24.124,1.03
310,16.584,24.143,1.033
311,16.543,24.171,1.037
312,15.78,24.172,1.04
313,16.8275,24.157,1.043
314,18.2235,24.128,1.047
315,15.1455,24.186,1.05
316,15.454,24.184,1.053
317,16.425,24.168,1.057
318,16.742,24.174,1.06
319,18.057,24.145,1.063
320,18.4915,24.137,1.067
321,17.354,24.149,1.07
322,17.966,24.147,1.073
323,16.066,24.179,1.077
324,15.934,24.19,1.08
325,16.439,24.179,1.083
326,15.1795,24.197,1.087
327,19.644,24.127,1.09
328,19.449,24.129,1.093
329,17.7255,24.156,1.097
330,16.499,24.184,1.1
331,19.789,24.119,1.103
332,19.8065,24.117,1.107
333,20.3655,24.113,1.11
334,18.9865,24.13,1.113
335,13.9755,24.217,1.117
336,13.318,24.232,1.12
337,17.593,24.164,1.123
338,16.9045,24.169,1.127
339,16.694,24.174,1.13
340,18.4385,24.151,1.133
341,19.102,24.143,1.137
342,19.287,24.126,1.14
343,15.5265,24.195,1.143
344,17.0995,24.17,1.147
345,18.696,24.164,1.15
346,22.933,24.065,1.153
347,23.528,24.049,1.157
348,19.5785,24.112,1.16
349,18.057,24.148,1.163
350,17.579,24.15,1.167
351,16.796,24.173,1.17
352,17.586,24.174,1.173
353,20.2075,24.112,1.177
354,22.6755,24.082,1.18
355,24.3875,24.039,1.183
356,25.4035,24.013,1.187
357,25.314,24.01,1.19
358,24.1155,24.022,1.193
359,22.637,24.065,1.197
360,24.0815,24.024,1.2
361,22.1075,24.083,1.203
362,23.0955,24.046,1.207
363,23.9265,24.034,1.21
364,24.551,24.026,1.213
365,23.9265,24.023,1.217
366,23.4455,24.034,1.22
367,23.2875,24.039,1.223
368,22.7365,24.068,1.227
369,21.6465,24.066,1.23
370,20.6375,24.089,1.233
371,19.2955,24.113,1.237
372,16.7875,24.147,1.24
373,17.142,24.143,1.243
374,18.8215,24.12,1.247
375,20.5505,24.082,1.25
376,19.5955,24.11,1.253
377,22.395,24.058,1.257
378,21.9125,24.082,1.26
379,21.5055,24.057,1.263
380,20.871,24.074,1.267
381,20.956,24.083,1.27
382,22.926,24.042,1.273
383,22.6655,24.041,1.277
384,25.57,23.993,1.28
385,29.211,23.937,1.283
386,30.4945,23.907,1.287
387,28.636,23.911,1.29
388,26.2675,23.967,1.293
389,24.4845,23.985,1.297
390,24.1045,24,1.3
391,24.83,23.996,1.303
392,25.0835,23.984,1.307
393,23.2005,24.015,1.31
394,22.7865,24.032,1.313
395,23.804,23.999,1.317
396,23.256,24.029,1.32
397,21.184,24.047,1.323
398,19.469,24.071,1.327
399,19.7905,24.075,1.33
400,26.854,23.937,1.333
401,26.168,23.948,1.337
402,23.854,24.002,1.34
403,22.586,24.011,1.343
404,23.235,24.009,1.347
405,23.579,23.998,1.35
406,21.705,24.024,1.353
407,22.3735,24.024,1.357
408,23.7015,23.986,1.36
409,23.9635,23.977,1.363
410,24.1015,23.993,1.367
411,23.4555,24.006,1.37
412,23.337,23.99,1.373
413,21.665,24.013,1.377
414,22.7425,24.007,1.38
415,22.068,24.016,1.383
416,21.837,24.018,1.387
417,21.406,24.027,1.39
418,22.465,24.01,1.393
419,22.0405,24.006,1.397
420,20.707,24.04,1.4
421,20.2815,24.043,1.403
422,21.2155,24.037,1.407
423,21.5455,24.027,1.41
424,20.727,24.036,1.413
425,19.331,24.068,1.417
426,19.1675,24.075,1.42
427,18.241,24.078,1.423
428,18.047,24.093,1.427
429,16.943,24.107,1.43
430,17.0765,24.102,1.433
431,17.747,24.089,1.437
432,16.9825,24.118,1.44
433,17.33,24.1,1.443
434,19.2455,24.078,1.447
435,19.657,24.07,1.45
436,17.9165,24.1,1.453
437,17.936,24.09,1.457
438,18.4445,24.084,1.46
439,18.009,24.085,1.463
440,17.5805,24.107,1.467
441,19.042,24.061,1.47
442,19.657,24.06,1.473
443,20.4965,24.047,1.477
444,18.4315,24.08,1.48
445,19.076,24.086,1.483
446,21.6435,24.029,1.487
447,19.4105,24.061,1.49
448,17.804,24.087,1.493
449,15.518,24.129,1.497
450,19.668,24.059,1.5
451,19.946,24.055,1.503
452,19.8375,24.069,1.507
453,22.415,24.006,1.51
454,21.642,24.019,1.513
455,21.9725,24.011,1.517
456,18.9325,24.066,1.52
457,20.4085,24.035,1.523
458,20.683,24.042,1.527
459,20.771,24.026,1.53
460,20.4155,24.038,1.533
461,19.153,24.063,1.537
462,20.125,24.046,1.54
463,22.5315,24.004,1.543
464,21.877,24.023,1.547
465,21.6975,24.012,1.55
466,23.4285,23.971,1.553
467,23.9765,23.966,1.557
468,22.069,24.01,1.56
469,20.0665,24.039,1.563
470,18.1225,24.068,1.567
471,19.402,24.045,1.57
472,20.296,24.031,1.573
473,19.422,24.042,1.577
474,22.3825,23.997,1.58
475,26.6035,23.907,1.583
476,22.015,23.991,1.587
477,22.526,23.987,1.59
478,27.3875,23.896,1.593
479,27.0745,23.905,1.597
480,25.949,23.9,1.6
481,22.835,23.969,1.603
482,23.2505,23.957,1.607
483,24.8645,23.929,1.61
484,26.272,23.888,1.613
485,22.546,23.968,1.617
486,20.9405,23.996,1.62
487,20.6815,23.994,1.623
488,21.3805,23.978,1.627
489,21.8285,23.98,1.63
490,19.755,24.013,1.633
491,18.292,24.048,1.637
492,16.812,24.068,1.64
493,16.271,24.08,1.643
494,17.185,24.062,1.647
495,18.3005,24.044,1.65
496,19.859,24.023,1.653
497,20.502,23.999,1.657
498,19.126,24.038,1.66
499,18.6765,24.039,1.663
500,19.466,24.021,1.667
501,20.845,24.001,1.67
502,21.6665,23.979,1.673
503,21.823,24.007,1.677
504,21.88,23.971,1.68
505,21.8515,23.972,1.683
506,21.42,23.988,1.687
507,20.871,23.99,1.69
508,20.478,23.998,1.693
509,20.2575,24.005,1.697
510,20.4085,23.995,1.7
511,23.0085,23.953,1.703
512,22.378,23.961,1.707
513,20.7785,23.982,1.71
514,18.4785,24.039,1.713
515,17.5305,24.04,1.717
516,18.8985,24.029,1.72
517,20.992,23.992,1.723
518,19.8815,24.014,1.727
519,20.323,24.005,1.73
520,18.82,24.026,1.733
521,17.673,24.042,1.737
522,17.081,24.052,1.74
523,16.281,24.074,1.743
524,13.1655,24.12,1.747
525,14.774,24.098,1.75
526,17.979,24.04,1.753
527,18.1765,24.038,1.757
528,17.2675,24.054,1.76
529,13.8545,24.107,1.763
530,13.21,24.122,1.767
531,15.5795,24.084,1.77
532,20.871,23.99,1.773
533,17.925,24.041,1.777
534,15.376,24.084,1.78
535,12.4525,24.135,1.783
536,11.8875,24.153,1.787
537,13.591,24.131,1.79
538,16.472,24.077,1.793
539,16.846,24.073,1.797
540,15.114,24.105,1.8
541,15.111,24.11,1.803
542,17.8495,24.06,1.807
543,17.6345,24.068,1.81
544,16.459,24.092,1.813
545,14.9875,24.104,1.817
546,16.8945,24.071,1.82
547,18.2265,24.04,1.823
548,17.6815,24.055,1.827
549,17.407,24.065,1.83
550,16.6865,24.063,1.833
551,15.0075,24.101,1.837
552,17.5465,24.066,1.84
553,19.1075,24.032,1.843
554,20.1665,24.006,1.847
555,20.252,24,1.85
556,19.7765,24.012,1.853
557,19.725,24.013,1.857
558,20.3085,23.997,1.86
559,20.9775,23.984,1.863
560,21.0515,23.983,1.867
561,20.996,23.989,1.87
562,22.2615,23.971,1.873
563,22.97,23.946,1.877
564,21.494,23.964,1.88
565,19.254,24.009,1.883
566,18.4785,24.016,1.887
567,17.6415,24.031,1.89
568,18.686,24.021,1.893
569,20.1235,23.986,1.897
570,20.488,24.007,1.9
571,20.972,23.974,1.903
572,21.423,23.966,1.907
573,21.678,23.968,1.91
574,21.689,23.96,1.913
575,20.75,23.979,1.917
576,20.222,23.983,1.92
577,21.0075,23.986,1.923
578,22.0095,23.946,1.927
579,22.408,23.943,1.93
580,21.917,23.944,1.933
581,22.664,23.932,1.937
582,22.8275,23.93,1.94
583,23.195,23.908,1.943
584,23.027,23.92,1.947
585,23.209,23.911,1.95
586,25.116,23.896,1.953
587,24.4955,23.882,1.957
588,24.278,23.876,1.96
589,24.3405,23.873,1.963
590,25.284,23.861,1.967
591,23.6335,23.89,1.97
592,21.6805,23.924,1.973
593,23.1565,23.898,1.977
594,22.122,23.938,1.98
595,21.2565,23.935,1.983
596,21.3745,23.934,1.987
597,20.613,23.944,1.99
598,23.104,23.897,1.993
599,26.1625,23.834,1.997
600,26.2035,23.829,2
601,24.2765,23.864,2.003
602,25.0265,23.863,2.007
603,24.0715,23.874,2.01
604,22.3365,23.897,2.013
605,20.871,23.932,2.017
606,19.314,23.95,2.02
607,20.891,23.935,2.023
608,20.881,23.933,2.027
609,22.55,23.905,2.03
610,22.2215,23.9,2.033
611,22.9345,23.88,2.037
612,22.815,23.902,2.04
613,22.4945,23.885,2.043
614,23.054,23.878,2.047
615,21.974,23.897,2.05
616,22.852,23.879,2.053
617,22.294,23.891,2.057
618,19.082,23.955,2.06
619,20.1035,23.964,2.063
620,20.4255,23.947,2.067
621,19.0035,23.953,2.07
622,20.8495,23.926,2.073
623,21.3915,23.902,2.077
624,22.8375,23.873,2.08
625,22.667,23.893,2.083
626,24.009,23.843,2.087
627,24.9,23.832,2.09
628,26.2465,23.818,2.093
629,21.0945,23.898,2.097
630,19.3025,23.93,2.1
631,18.622,23.945,2.103
632,19.2795,23.946,2.107
633,19.469,23.956,2.11
634,21.494,23.898,2.113
635,24.4345,23.833,2.117
636,21.4445,23.889,2.12
637,20.078,23.929,2.123
638,18.9055,23.947,2.127
639,16.8875,23.97,2.13
640,13.974,24.033,2.133
641,19.119,23.944,2.137
642,21.8515,23.881,2.14
643,22.075,23.882,2.143
644,20.881,23.937,2.147
645,17.112,23.974,2.15
646,19.6155,23.961,2.153
647,21.036,23.908,2.157
648,21.581,23.89,2.16
649,23.148,23.857,2.163
650,22.253,23.878,2.167
651,20.9265,23.929,2.17
652,21.3005,23.883,2.173
653,18.881,23.96,2.177
654,19.893,23.948,2.18
655,19.4905,23.928,2.183
656,18.232,23.952,2.187
657,17.851,23.96,2.19
658,19.731,23.925,2.193
659,16.2225,23.982,2.197
660,16.6,23.982,2.2
661,16.8075,23.98,2.203
662,16.4175,24.006,2.207
663,20.952,23.905,2.21
664,19.069,23.933,2.213
665,16.7195,23.977,2.217
666,16.022,24.001,2.22
667,18.759,23.955,2.223
668,19.8845,23.921,2.227
669,20.5575,23.919,2.23
670,20.7785,23.906,2.233
671,21.076,23.89,2.237
672,18.0715,23.951,2.24
673,17.616,23.962,2.243
674,18.147,23.955,2.247
675,16.325,23.996,2.25
676,16.291,23.983,2.253
677,18.5125,23.962,2.257
678,18.5725,23.956,2.26
679,19.795,23.919,2.263
680,19.758,23.925,2.267
681,19.8165,23.919,2.27
682,17.929,23.957,2.273
683,18.541,23.952,2.277
684,19.866,23.913,2.28
685,17.9405,23.951,2.283
686,18.1225,23.953,2.287
687,21.1015,23.91,2.29
688,21.9055,23.875,2.293
689,22.768,23.853,2.297
690,22.4435,23.853,2.3
691,20.619,23.9,2.303
692,19.9485,23.903,2.307
693,18.9835,23.924,2.31
694,19.6955,23.921,2.313
695,19.509,23.932,2.317
696,19.2425,23.944,2.32
697,19.17,23.927,2.323
698,18.4415,23.94,2.327
699,20.206,23.899,2.33
700,20.801,23.887,2.333
701,21.009,23.878,2.337
702,22.6625,23.87,2.34
703,21.366,23.882,2.343
704,20.182,23.895,2.347
705,18.453,23.933,2.35
706,19.499,23.909,2.353
707,18.9055,23.918,2.357
708,20.851,23.879,2.36
709,19.442,23.909,2.363
710,19.8645,23.905,2.367
711,20.36,23.896,2.37
712,20.2345,23.9,2.373
713,20.01,23.9,2.377
714,22.818,23.841,2.38
715,23.787,23.823,2.383
716,22.4405,23.836,2.387
717,21.3205,23.859,2.39
718,20.108,23.874,2.393
719,19.788,23.891,2.397
720,19.59,23.883,2.4
721,19.446,23.896,2.403
722,19.287,23.916,2.407
723,19.99,23.885,2.41
724,20.9835,23.865,2.413
725,21.2325,23.864,2.417
726,21.0345,23.861,2.42
727,21.7375,23.861,2.423
728,21.779,23.844,2.427
729,22.5245,23.852,2.43
730,22.4935,23.832,2.433
731,22.351,23.827,2.437
732,22.439,23.829,2.44
733,22.1235,23.836,2.443
734,23.195,23.83,2.447
735,24.1215,23.793,2.45
736,24.11,23.806,2.453
737,24.369,23.798,2.457
738,23.72,23.794,2.46
739,22.3895,23.818,2.463
740,17.8025,23.897,2.467
741,15.8585,23.945,2.47
742,15.554,23.953,2.473
743,16.116,23.949,2.477
744,19.7635,23.894,2.48
745,19.439,23.88,2.483
746,18.0855,23.902,2.487
747,19.079,23.879,2.49
748,20.461,23.856,2.493
749,19.977,23.87,2.497
750,20.391,23.86,2.5
751,20.044,23.856,2.503
752,19.193,23.904,2.507
753,18.3505,23.911,2.51
754,17.3555,23.927,2.513
755,18.4445,23.899,2.517
756,20.6045,23.856,2.52
757,20.639,23.853,2.523
758,19.55,23.874,2.527
759,18.807,23.884,2.53
760,19.146,23.874,2.533
761,20.5095,23.86,2.537
762,21.567,23.844,2.54
763,18.6235,23.889,2.543
764,20.999,23.853,2.547
765,20.8365,23.85,2.55
766,20.717,23.847,2.553
767,19.53,23.869,2.557
768,17.5335,23.915,2.56
769,18.464,23.897,2.563
770,19.96,23.864,2.567
771,21.0945,23.834,2.57
772,22.67,23.809,2.573
773,22.207,23.822,2.577
774,20.364,23.845,2.58
775,20.276,23.847,2.583
776,20,23.847,2.587
777,20.195,23.85,2.59
778,20.8365,23.839,2.593
779,20.3755,23.847,2.597
780,20.898,23.825,2.6
781,21.1685,23.832,2.603
782,21.3265,23.822,2.607
783,20.808,23.831,2.61
784,19.842,23.86,2.613
785,19.671,23.863,2.617
786,21.7945,23.823,2.62
787,21.2865,23.819,2.623
788,20.3825,23.841,2.627
789,19.7595,23.847,2.63
790,20.666,23.827,2.633
791,23.743,23.78,2.637
792,23.922,23.766,2.64
793,22.909,23.79,2.643
794,23.42,23.786,2.647
795,23.653,23.771,2.65
796,23.901,23.764,2.653
797,23.2705,23.768,2.657
798,22.2855,23.782,2.66
799,24.5325,23.753,2.663
800,25.4435,23.735,2.667
801,25.522,23.729,2.67
802,25.361,23.728,2.673
803,25.398,23.744,2.677
804,25.24,23.738,2.68
805,25.7795,23.714,2.683
806,23.9195,23.74,2.687
807,25.4865,23.715,2.69
808,24.2565,23.736,2.693
809,22.7255,23.761,2.697
810,22.065,23.773,2.7
811,22.156,23.777,2.703
812,23.0895,23.763,2.707
813,22.529,23.764,2.71
814,21.911,23.793,2.713
815,19.2555,23.821,2.717
816,21.009,23.794,2.72
817,24.386,23.737,2.723
818,26.3345,23.711,2.727
819,26.292,23.703,2.73
820,24.756,23.714,2.733
821,21.446,23.776,2.737
822,19.402,23.807,2.74
823,18.84,23.814,2.743
824,23.444,23.736,2.747
825,24.463,23.721,2.75
826,26.3885,23.69,2.753
827,25.845,23.711,2.757
828,24.513,23.722,2.76
829,21.9795,23.771,2.763
830,20.343,23.784,2.767
831,20.377,23.781,2.77
832,18.1455,23.823,2.773
833,15.4015,23.88,2.777
834,17.835,23.83,2.78
835,20.263,23.788,2.783
836,23.05,23.764,2.787
837,22.846,23.75,2.79
838,20.774,23.781,2.793
839,20.0555,23.791,2.797
840,19.718,23.798,2.8
841,19.7965,23.793,2.803
842,20.683,23.778,2.807
843,21.376,23.769,2.81
844,23.3545,23.75,2.813
845,23.861,23.733,2.817
846,23.498,23.725,2.82
847,22.0435,23.742,2.823
848,21.1785,23.761,2.827
849,21.0145,23.766,2.83
850,20.2135,23.78,2.833
851,18.41,23.805,2.837
852,18.8925,23.808,2.84
853,24.0815,23.729,2.843
854,20.36,23.781,2.847
855,19.3255,23.794,2.85
856,18.097,23.816,2.853
857,15.1495,23.872,2.857
858,19.177,23.798,2.86
859,23.801,23.722,2.863
860,25.489,23.696,2.867
861,21.5085,23.75,2.87
862,19.3055,23.805,2.873
863,19.728,23.792,2.877
864,20.3725,23.781,2.88
865,21.5325,23.755,2.883
866,27.0475,23.663,2.887
867,28.2445,23.638,2.89
868,29.6775,23.631,2.893
869,30.577,23.608,2.897
870,28.3055,23.626,2.9
871,26.773,23.647,2.903
872,24.3465,23.678,2.907
873,25.2285,23.675,2.91
874,23.555,23.691,2.913
875,24.635,23.672,2.917
876,23.4825,23.696,2.92
877,26.1695,23.654,2.923
878,25.1505,23.67,2.927
879,25.6455,23.67,2.93
880,25.61,23.658,2.933
881,26.313,23.642,2.937
882,27.402,23.619,2.94
883,27.8215,23.605,2.943
884,25.811,23.647,2.947
885,25.0195,23.658,2.95
886,24.634,23.66,2.953
887,21.187,23.716,2.957
888,20.0895,23.728,2.96
889,20.2985,23.73,2.963
890,20.8225,23.719,2.967
891,20.5505,23.729,2.97
892,20.918,23.718,2.973
893,20.912,23.722,2.977
894,21.033,23.713,2.98
895,23.3985,23.676,2.983
896,22.6515,23.698,2.987
897,23.6035,23.682,2.99
898,23.821,23.67,2.993
899,24.0945,23.665,2.997
900,24.0415,23.67,3
901,24.0875,23.673,3.003
902,23.558,23.683,3.007
903,23.6245,23.674,3.01
904,24.1825,23.665,3.013
905,24.194,23.657,3.017
906,23.9305,23.659,3.02
907,24.2765,23.654,3.023
908,24.07,23.66,3.027
909,24.537,23.651,3.03
910,24.682,23.635,3.033
911,24.89,23.651,3.037
912,25.0125,23.652,3.04
913,25.0325,23.627,3.043
914,24.366,23.644,3.047
915,24.399,23.642,3.05
916,24.803,23.639,3.053
917,24.584,23.632,3.057
918,24.339,23.647,3.06
919,24.069,23.66,3.063
920,24.18,23.644,3.067
921,24.4045,23.642,3.07
922,24.355,23.641,3.073
923,24.1585,23.635,3.077
924,24.224,23.63,3.08
925,24.1215,23.66,3.083
926,23.952,23.632,3.087
927,24.07,23.642,3.09
928,24.029,23.631,3.093
929,24.54,23.626,3.097
930,23.4485,23.64,3.1
931,24.3975,23.624,3.103
932,24.5015,23.616,3.107
933,24.08,23.633,3.11
934,24.1385,23.637,3.113
935,23.8965,23.637,3.117
936,24.366,23.627,3.12
937,25.25,23.604,3.123
938,25.1675,23.606,3.127
939,24.6395,23.614,3.13
940,24.806,23.61,3.133
941,24.275,23.606,3.137
942,23.474,23.625,3.14
943,24.4215,23.628,3.143
944,24.023,23.61,3.147
945,23.935,23.628,3.15
946,23.505,23.628,3.153
947,23.4525,23.621,3.157
948,24.059,23.609,3.16
949,24.0775,23.608,3.163
950,24.4715,23.606,3.167
951,24.5085,23.611,3.17
952,24.7745,23.597,3.173
953,24.5695,23.603,3.177
954,24.631,23.599,3.18
955,24.8515,23.59,3.183
956,24.769,23.595,3.187
957,24.93,23.593,3.19
958,24.866,23.595,3.193
959,25.048,23.579,3.197
960,24.92,23.594,3.2
961,24.766,23.591,3.203
962,24.073,23.598,3.207
963,24.9155,23.585,3.21
964,25.3825,23.577,3.213
965,25.6855,23.562,3.217
966,25.129,23.57,3.22
