timesteps, current B1, voltage,ts
0,26.219,24.586,0
1,24.9855,24.589,0.003
2,24.85,24.594,0.007
3,24.4105,24.586,0.01
4,24.335,24.581,0.013
5,24.7905,24.564,0.017
6,25.2555,24.55,0.02
7,25.243,24.548,0.023
8,25.4875,24.547,0.027
9,25.0495,24.541,0.03
10,24.14,24.549,0.033
11,23.5025,24.558,0.037
12,23.222,24.558,0.04
13,23.935,24.535,0.043
14,24.4345,24.533,0.047
15,24.816,24.513,0.05
16,25.4505,24.505,0.053
17,25.6455,24.497,0.057
18,26.4455,24.475,0.06
19,26.4225,24.462,0.063
20,24.7535,24.5,0.067
21,24.1855,24.504,0.07
22,23.865,24.496,0.073
23,23.626,24.52,0.077
24,23.595,24.502,0.08
25,23.4115,24.507,0.083
26,22.9175,24.508,0.087
27,22.738,24.505,0.09
28,22.738,24.498,0.093
29,22.775,24.497,0.097
30,23.676,24.482,0.1
31,24.486,24.466,0.103
32,25.6455,24.433,0.107
33,24.93,24.457,0.11
34,24.376,24.445,0.113
35,24.0245,24.453,0.117
36,24.191,24.444,0.12
37,24.386,24.437,0.123
38,24.288,24.436,0.127
39,23.7585,24.446,0.13
40,24.3105,24.429,0.133
41,24.9055,24.427,0.137
42,25.2045,24.41,0.14
43,25.607,24.395,0.143
44,25.455,24.398,0.147
45,25.384,24.392,0.15
46,25.354,24.392,0.153
47,25.3725,24.383,0.157
48,24.7165,24.397,0.16
49,25.1545,24.39,0.163
50,25.243,24.382,0.167
51,25.3185,24.37,0.17
52,25.358,24.375,0.173
53,23.8255,24.39,0.177
54,23.9535,24.392,0.18
55,25.6085,24.355,0.183
56,24.9425,24.359,0.187
57,25.8365,24.353,0.19
58,26.525,24.338,0.193
59,25.775,24.338,0.197
60,24.796,24.351,0.2
61,25.617,24.359,0.203
62,25.9675,24.334,0.207
63,25.314,24.339,0.21
64,23.737,24.357,0.213
65,22.429,24.389,0.217
66,21.83,24.405,0.22
67,22.809,24.381,0.223
68,24.2255,24.352,0.227
69,23.024,24.377,0.23
70,21.628,24.399,0.233
71,19.856,24.425,0.237
72,20.4555,24.419,0.24
73,20.7685,24.4,0.243
74,19.418,24.439,0.247
75,18.78,24.446,0.25
76,18.51,24.443,0.253
77,19.2785,24.449,0.257
78,20.293,24.417,0.26
79,21.534,24.384,0.263
80,23.2805,24.35,0.267
81,24.6225,24.328,0.27
82,28.3015,24.249,0.273
83,25.1035,24.312,0.277
84,25.465,24.303,0.28
85,25.0195,24.304,0.283
86,23.172,24.339,0.287
87,21.7105,24.365,0.29
88,21.8215,24.369,0.293
89,22.2485,24.348,0.297
90,22.4365,24.343,0.3
91,22.5315,24.345,0.303
92,23.38,24.328,0.307
93,23.838,24.31,0.31
94,24.09,24.311,0.313
95,25.163,24.289,0.317
96,25.882,24.259,0.32
97,26.067,24.26,0.323
98,25.95,24.256,0.327
99,25.6995,24.261,0.33
100,25.408,24.27,0.333
101,24.4715,24.274,0.337
102,24.4715,24.292,0.34
103,24.365,24.275,0.343
104,24.0175,24.284,0.347
105,24.3505,24.276,0.35
106,24.096,24.276,0.353
107,23.541,24.285,0.357
108,23.9435,24.284,0.36
109,24.887,24.256,0.363
110,26.76,24.213,0.367
111,26.669,24.207,0.37
112,25.842,24.231,0.373
113,24.3005,24.255,0.377
114,23.504,24.266,0.38
115,22.872,24.283,0.383
116,22.93,24.285,0.387
117,23.505,24.28,0.39
118,23.357,24.284,0.393
119,24.8415,24.237,0.397
120,25.2075,24.239,0.4
121,26.753,24.198,0.403
122,27.221,24.177,0.407
123,26.178,24.203,0.41
124,25.9035,24.207,0.413
125,25.691,24.218,0.417
126,25.848,24.207,0.42
127,24.85,24.217,0.423
128,24.245,24.235,0.427
129,23.915,24.233,0.43
130,24.106,24.229,0.433
131,23.959,24.229,0.437
132,25.014,24.203,0.44
133,25.4905,24.218,0.443
134,26.5905,24.184,0.447
135,26.6035,24.182,0.45
136,26.484,24.182,0.453
137,26.145,24.176,0.457
138,25.657,24.186,0.46
139,24.171,24.21,0.463
140,24.83,24.193,0.467
141,25.8905,24.186,0.47
142,26.138,24.181,0.473
143,25.7765,24.173,0.477
144,25.919,24.191,0.48
145,25.7325,24.189,0.483
146,24.3205,24.189,0.487
147,24.4545,24.194,0.49
148,24.429,24.195,0.493
149,24.0045,24.193,0.497
150,22.8635,24.22,0.5
151,22.186,24.234,0.503
152,22.156,24.234,0.507
153,23.602,24.208,0.51
154,25.004,24.184,0.513
155,23.3645,24.204,0.517
156,22.1275,24.232,0.52
157,22.4875,24.229,0.523
158,26.74,24.153,0.527
159,29.185,24.092,0.53
160,29.978,24.078,0.533
161,29.05,24.094,0.537
162,29.79,24.078,0.54
163,30.123,24.079,0.543
164,29.941,24.071,0.547
165,28.959,24.085,0.55
166,28.525,24.085,0.553
167,24.8615,24.147,0.557
168,22.9375,24.187,0.56
169,23.7245,24.173,0.563
170,25.378,24.14,0.567
171,25.237,24.146,0.57
172,25.0865,24.143,0.573
173,25.8775,24.142,0.577
174,26.4485,24.124,0.58
175,27.5315,24.096,0.583
176,26.4225,24.12,0.587
177,26.683,24.108,0.59
178,26.6675,24.11,0.593
179,26.393,24.11,0.597
180,26.706,24.098,0.6
181,26.864,24.11,0.603
182,26.908,24.099,0.607
183,26.7915,24.108,0.61
184,26.5565,24.104,0.613
185,26.42,24.116,0.617
186,27.3665,24.096,0.62
187,27.2055,24.088,0.623
188,27.059,24.084,0.627
189,26.249,24.102,0.63
190,28.4695,24.056,0.633
191,27.5455,24.068,0.637
192,26.6535,24.09,0.64
193,26.757,24.079,0.643
194,26.925,24.083,0.647
195,27.3265,24.062,0.65
196,27.248,24.064,0.653
197,26.7315,24.091,0.657
198,28.2015,24.06,0.66
199,28.5975,24.047,0.663
200,27.739,24.05,0.667
201,26.911,24.075,0.67
202,27.395,24.063,0.673
203,26.952,24.071,0.677
204,27.244,24.06,0.68
205,27.735,24.052,0.683
206,28.442,24.038,0.687
207,28.3695,24.042,0.69
208,28.431,24.039,0.693
209,27.85,24.048,0.697
210,29.2295,24.013,0.7
211,27.581,24.041,0.703
212,27.7165,24.045,0.707
213,26.8425,24.052,0.71
214,26.72,24.054,0.713
215,27.1915,24.047,0.717
216,28.414,24.028,0.72
217,28.0195,24.041,0.723
218,27.389,24.046,0.727
219,28.341,24.021,0.73
220,28.4125,24.023,0.733
221,27.4575,24.024,0.737
222,27.95,24.028,0.74
223,28.344,24.026,0.743
224,28.2415,24.021,0.747
225,28.0435,24.008,0.75
226,28.9875,23.996,0.753
227,28.3115,24.015,0.757
228,28.747,24.001,0.76
229,28.996,23.992,0.763
230,28.3115,24.002,0.767
231,28.6345,23.996,0.77
