time,voltage,rul
0,4.191902341,28550
10,4.144092522,28540
20,4.170321629,28530
30,4.151906071,28520
40,4.16146141,28510
50,4.155285487,28500
60,4.157660665,28490
70,4.155013649,28480
80,4.154549172,28470
90,4.15477251,28460
100,4.155207536,28450
110,4.153915355,28440
120,4.153258235,28430
130,4.151637214,28420
140,4.152941003,28410
150,4.15298552,28400
160,4.151521353,28390
170,4.149728096,28380
180,4.151877013,28370
190,4.150152118,28360
200,4.150568322,28350
210,4.147043956,28340
220,4.148967043,28330
230,4.148784575,28320
240,4.148862394,28310
250,4.146832351,28300
260,4.146609518,28290
270,4.146131549,28280
280,4.146935024,28270
290,4.145507824,28260
300,4.14409447,28250
310,4.14529124,28240
320,4.141080404,28230
330,4.143615261,28220
340,4.144050846,28210
350,4.141720726,28200
360,4.14147676,28190
370,4.142681641,28180
380,4.142181726,28170
390,4.14207419,28160
400,4.14166805,28150
410,4.13973863,28140
420,4.139586821,28130
430,4.140860283,28120
440,4.139721066,28110
450,4.140186445,28100
460,4.138038864,28090
470,4.136472562,28080
480,4.137672165,28070
490,4.1369435,28060
500,4.135603732,28050
510,4.138064682,28040
520,4.135666436,28030
530,4.133814586,28020
540,4.133009143,28010
550,4.135316189,28000
560,4.13323457,27990
570,4.132784467,27980
580,4.131864941,27970
590,4.131275972,27960
600,4.129164686,27950
610,4.130166251,27940
620,4.131854373,27930
630,4.130702399,27920
640,4.13012384,27910
650,4.129487741,27900
660,4.13091138,27890
670,4.12793498,27880
680,4.127235615,27870
690,4.12708909,27860
700,4.127549778,27850
710,4.126508952,27840
720,4.127593316,27830
730,4.126540808,27820
740,4.125655464,27810
750,4.124254454,27800
760,4.124674446,27790
770,4.124475143,27780
780,4.124143168,27770
790,4.123003416,27760
800,4.12360456,27750
810,4.123292409,27740
820,4.123131203,27730
830,4.123344817,27720
840,4.120442216,27710
850,4.119848504,27700
860,4.120337352,27690
870,4.120662639,27680
880,4.121252548,27670
890,4.119588956,27660
900,4.119796272,27650
910,4.116676274,27640
920,4.117496183,27630
930,4.116517868,27620
940,4.117111882,27610
950,4.116624029,27600
960,4.116742695,27590
970,4.115379856,27580
980,4.11536624,27570
990,4.114224655,27560
1000,4.114561322,27550
1010,4.114420614,27540
1020,4.114928249,27530
1030,4.11407771,27520
1040,4.1137112,27510
1050,4.112203813,27500
1060,4.113360743,27490
1070,4.112425245,27480
1080,4.111826367,27470
1090,4.113090593,27460
1100,4.111692926,27450
1110,4.11061685,27440
1120,4.107947796,27430
1130,4.111187332,27420
1140,4.109665391,27410
1150,4.108299968,27400
1160,4.109976956,27390
1170,4.105810609,27380
1180,4.109122577,27370
1190,4.108207149,27360
1200,4.107652913,27350
1210,4.104894294,27340
1220,4.104202151,27330
1230,4.105253492,27320
1240,4.105779929,27310
1250,4.104565638,27300
1260,4.103250885,27290
1270,4.103633009,27280
1280,4.103479758,27270
1290,4.103037549,27260
1300,4.101288905,27250
1310,4.103334614,27240
1320,4.101423102,27230
1330,4.099113073,27220
1340,4.099853668,27210
1350,4.099899555,27200
1360,4.099555417,27190
1370,4.098640624,27180
1380,4.098166082,27170
1390,4.098033158,27160
1400,4.100024451,27150
1410,4.099295329,27140
1420,4.097513119,27130
1430,4.097309969,27120
1440,4.096458374,27110
1450,4.096872468,27100
1460,4.096158203,27090
1470,4.095535279,27080
1480,4.095387342,27070
1490,4.094511289,27060
1500,4.094010384,27050
1510,4.094309362,27040
1520,4.093276277,27030
1530,4.094771943,27020
1540,4.092936699,27010
1550,4.091420021,27000
1560,4.092252069,26990
1570,4.091996645,26980
1580,4.09172993,26970
1590,4.091707755,26960
1600,4.090464572,26950
1610,4.090511688,26940
1620,4.090931833,26930
1630,4.089364812,26920
1640,4.089632445,26910
1650,4.088261122,26900
1660,4.08768308,26890
1670,4.088966661,26880
1680,4.087656691,26870
1690,4.089210347,26860
1700,4.088030865,26850
1710,4.086352363,26840
1720,4.0848025,26830
1730,4.086416241,26820
1740,4.085649399,26810
1750,4.086247769,26800
1760,4.08567895,26790
1770,4.084110056,26780
1780,4.084253002,26770
1790,4.083122198,26760
1800,4.08390534,26750
1810,4.084055803,26740
1820,4.082198422,26730
1830,4.08129888,26720
1840,4.082893755,26710
1850,4.081041771,26700
1860,4.080202362,26690
1870,4.080187386,26680
1880,4.079646853,26670
1890,4.077704767,26660
1900,4.079395373,26650
1910,4.080599948,26640
1920,4.078729732,26630
1930,4.077531296,26620
1940,4.076721359,26610
1950,4.079473969,26600
1960,4.077769941,26590
1970,4.076206685,26580
1980,4.076786479,26570
1990,4.076387749,26560
2000,4.076209177,26550
2010,4.07590116,26540
2020,4.07282193,26530
2030,4.076919255,26520
2040,4.074577744,26510
2050,4.07467656,26500
2060,4.073332837,26490
2070,4.074652723,26480
2080,4.072801545,26470
2090,4.073530702,26460
2100,4.071320388,26450
2110,4.069200944,26440
2120,4.071049178,26430
2130,4.071710479,26420
2140,4.070104051,26410
2150,4.070714123,26400
2160,4.068941473,26390
2170,4.06895728,26380
2180,4.066995007,26370
2190,4.068981714,26360
2200,4.067375991,26350
2210,4.066819356,26340
2220,4.068062881,26330
2230,4.066863766,26320
2240,4.066157486,26310
2250,4.06565056,26300
2260,4.064098128,26290
2270,4.064722992,26280
2280,4.066291889,26270
2290,4.064267329,26260
2300,4.06363246,26250
2310,4.063137807,26240
2320,4.064216134,26230
2330,4.064469696,26220
2340,4.064016,26210
2350,4.063219966,26200
2360,4.061811326,26190
2370,4.062595277,26180
2380,4.062462351,26170
2390,4.06061091,26160
2400,4.061484225,26150
2410,4.060793934,26140
2420,4.059594394,26130
2430,4.059099713,26120
2440,4.059248119,26110
2450,4.057676597,26100
2460,4.058831388,26090
2470,4.058418488,26080
2480,4.057428611,26070
2490,4.059390148,26060
2500,4.05734772,26050
2510,4.058298214,26040
2520,4.05751626,26030
2530,4.055420966,26020
2540,4.055762406,26010
2550,4.058060951,26000
2560,4.053199854,25990
2570,4.054602276,25980
2580,4.053309521,25970
2590,4.055245561,25960
2600,4.054182947,25950
2610,4.054056997,25940
2620,4.052742312,25930
2630,4.051366709,25920
2640,4.051432343,25910
2650,4.052662917,25900
2660,4.052357299,25890
2670,4.049787932,25880
2680,4.052337241,25870
2690,4.050644715,25860
2700,4.05156602,25850
2710,4.051224806,25840
2720,4.049662769,25830
2730,4.047794289,25820
2740,4.048499953,25810
2750,4.048418159,25800
2760,4.048503752,25790
2770,4.046844194,25780
2780,4.047842665,25770
2790,4.045891254,25760
2800,4.046103746,25750
2810,4.046482373,25740
2820,4.043998939,25730
2830,4.046761398,25720
2840,4.046084006,25710
2850,4.044276681,25700
2860,4.044643973,25690
2870,4.042493493,25680
2880,4.044769047,25670
2890,4.043125154,25660
2900,4.044852046,25650
2910,4.042640539,25640
2920,4.040750499,25630
2930,4.043966135,25620
2940,4.041712873,25610
