time,voltage,rul
0,4.191902341,1330
1,4.114908247,1329
2,4.042944807,1328
3,3.984982494,1327
4,3.935167349,1326
5,3.888276326,1325
6,3.852418378,1324
7,3.816727714,1323
8,3.789707997,1322
9,3.763198534,1321
10,3.74071511,1320
11,3.72153067,1319
12,3.70458368,1318
13,3.689253924,1317
14,3.67507729,1316
15,3.665683562,1315
16,3.655644243,1314
17,3.643746549,1313
18,3.63676543,1312
19,3.630188173,1311
20,3.623124109,1310
21,3.616391757,1309
22,3.612721477,1308
23,3.606924021,1307
24,3.601471701,1306
25,3.59853115,1305
26,3.594701628,1304
27,3.590803526,1303
28,3.589381116,1302
29,3.586113794,1301
30,3.583356109,1300
31,3.578859895,1299
32,3.578259951,1298
33,3.576581801,1297
34,3.574115186,1296
35,3.573267706,1295
36,3.571082862,1294
37,3.567850718,1293
38,3.56727426,1292
39,3.565986663,1291
40,3.562957991,1290
41,3.563162573,1289
42,3.560965219,1288
43,3.559513725,1287
44,3.559027551,1286
45,3.55607758,1285
46,3.556455228,1284
47,3.554422247,1283
48,3.553126985,1282
49,3.552965678,1281
50,3.550762327,1280
51,3.549339788,1279
52,3.547256181,1278
53,3.547533714,1277
54,3.546921396,1276
55,3.544042623,1275
56,3.544930586,1274
57,3.544585414,1273
58,3.543201914,1272
59,3.541611766,1271
60,3.539636377,1270
61,3.537464041,1269
62,3.535678667,1268
63,3.536634638,1267
64,3.536922304,1266
65,3.536085164,1265
66,3.533350892,1264
67,3.534161901,1263
68,3.532590387,1262
69,3.532970676,1261
70,3.530742838,1260
71,3.529364951,1259
72,3.528066362,1258
73,3.527064098,1257
74,3.525735932,1256
75,3.526848315,1255
76,3.524635013,1254
77,3.525177247,1253
78,3.52367677,1252
79,3.522605177,1251
80,3.5207757,1250
81,3.5203428,1249
82,3.520439336,1248
83,3.519501128,1247
84,3.516978848,1246
85,3.517331186,1245
86,3.516800872,1244
87,3.515595394,1243
88,3.513866879,1242
89,3.513930883,1241
90,3.512496125,1240
91,3.509739078,1239
92,3.511387907,1238
93,3.509313981,1237
94,3.509791717,1236
95,3.509376901,1235
96,3.509391812,1234
97,3.507315026,1233
98,3.505730757,1232
99,3.504129453,1231
100,3.502315545,1230
101,3.502282113,1229
102,3.501687629,1228
103,3.501367959,1227
104,3.499869469,1226
105,3.499112391,1225
106,3.499983418,1224
107,3.495028606,1223
108,3.495776063,1222
109,3.495079602,1221
110,3.497984838,1220
111,3.496059499,1219
112,3.493678239,1218
113,3.494570251,1217
114,3.492069421,1216
115,3.493008591,1215
116,3.488588942,1214
117,3.489585946,1213
118,3.488233235,1212
119,3.488781916,1211
120,3.48762548,1210
121,3.485653626,1209
122,3.485362441,1208
123,3.485831492,1207
124,3.481508675,1206
125,3.483606527,1205
126,3.48290847,1204
127,3.482000602,1203
128,3.482524036,1202
129,3.478870896,1201
130,3.477843287,1200
131,3.478725532,1199
132,3.480506017,1198
133,3.477788294,1197
134,3.476311256,1196
135,3.4762908,1195
136,3.475161767,1194
137,3.470856621,1193
138,3.473586529,1192
139,3.469769447,1191
140,3.47284232,1190
141,3.472629992,1189
142,3.46997261,1188
143,3.467706532,1187
144,3.466909042,1186
145,3.467910316,1185
146,3.468060451,1184
147,3.466914264,1183
148,3.466413676,1182
149,3.46455987,1181
150,3.46292968,1180
151,3.460876402,1179
152,3.461770743,1178
153,3.460541445,1177
154,3.459859621,1176
155,3.459743329,1175
156,3.458869636,1174
157,3.458053761,1173
158,3.460435444,1172
159,3.456672536,1171
160,3.454204464,1170
161,3.455464557,1169
162,3.453561448,1168
163,3.453233361,1167
164,3.452022383,1166
165,3.452229777,1165
166,3.452560095,1164
167,3.450441734,1163
168,3.45042722,1162
169,3.448165497,1161
170,3.44921779,1160
171,3.448643481,1159
172,3.446990581,1158
173,3.446614964,1157
174,3.446658946,1156
175,3.444862,1155
176,3.444832842,1154
177,3.446337741,1153
178,3.441305763,1152
179,3.442615885,1151
180,3.440011462,1150
181,3.441213069,1149
182,3.439063872,1148
183,3.438065284,1147
184,3.437387201,1146
185,3.438424807,1145
186,3.438617727,1144
187,3.436913736,1143
188,3.435673557,1142
189,3.436904228,1141
190,3.43406641,1140
191,3.434841258,1139
192,3.432572259,1138
193,3.432926422,1137
194,3.431753954,1136
195,3.430197832,1135
196,3.429520004,1134
197,3.428839461,1133
198,3.429514876,1132
199,3.429161527,1131
200,3.427167095,1130
201,3.425357882,1129
202,3.428248467,1128
203,3.425896131,1127
204,3.424806398,1126
205,3.424417148,1125
206,3.422863765,1124
207,3.42232585,1123
208,3.423614147,1122
209,3.421407786,1121
210,3.423351132,1120
211,3.4209661,1119
212,3.422133669,1118
213,3.419912839,1117
214,3.417050663,1116
215,3.418623626,1115
216,3.415981172,1114
217,3.41707068,1113
218,3.414979603,1112
